scope,n,win_rate,mean,median,p10,p25,p75,p90,min,max,std
ALL_PASS,294,0.6564625850340136,0.015223816173526977,0.01490740740740748,-0.028593622866279856,-0.008107150757950793,0.03728139379021611,0.06331697788257598,-0.12841756420878214,0.16914893617021276,0.04553162644078695
TOP3,85,0.5529411764705883,0.004969630925483988,0.0042283298097252064,-0.02727406225059854,-0.00865051903114189,0.022497187851518552,0.04733323939692849,-0.12744436952124072,0.0849816849816849,0.03320832609266233
DELTA(TOPK-ALL),-209,-0.10352140856342529,-0.010254185248042988,-0.010679077597682274,0.0013195606156813158,-0.0005433682731910972,,,,,
