code,select_td,buy_td,t0,net_ret,mom_5,mom_20,ma20_slope_5,ma20_dev,ma20_over_ma60,vol_20,mdd_10,amt_ma20,y_rel
515220.SH,2024-01-18,2024-01-19,2024-01-18,0.04382978723404274,-0.01671541997492687,-0.00423190859077438,0.004649999999999821,-0.01603696656700182,0.030302812704203097,0.015309984092319635,-0.04115729421352887,145507296.7,0
513000.SH,2024-01-25,2024-01-26,2024-01-25,0.026785714285714413,0.005169867060561328,0.044512663085187976,0.030000000000000027,0.010581028401707826,0.054785401002506395,0.023782996838369604,-0.06780821917808222,172154699.1,1
513290.SH,2024-01-25,2024-01-26,2024-01-25,0.008718395815169977,-0.01639344262295095,0.0,0.011199999999999877,-0.017114282019226712,0.0759941864060858,0.011665864739225982,-0.03143585386576053,118379461.3,0
159928.SZ,2024-03-07,2024-03-08,2024-03-07,0.034606205250596656,-0.009433962264151052,0.08949416342412442,0.014449999999999852,0.013941698352344822,0.009668704677946671,0.013961450603262631,-0.017667844522968212,105460113.85,3
159941.SZ,2024-03-07,2024-03-08,2024-03-07,-0.01688182720953335,0.011247443762781195,0.03886554621848726,0.009549999999999725,0.007846733924386173,0.046571154324718034,0.012021451225919686,-0.01905717151454367,579809196.95,0
510900.SH,2024-03-07,2024-03-08,2024-03-07,0.03399433427762033,-0.018131101813110062,0.08141321044546856,0.00990000000000002,0.007729745204694938,0.011706210325601596,0.01584105824472183,-0.03443526170798883,461664848.45,2
512070.SH,2024-03-07,2024-03-08,2024-03-07,-0.008278145695364225,-0.01631321370309957,0.03786574870912207,0.005049999999999999,0.002160545122153801,0.022140430351075935,0.014217708636759587,-0.02584814216478193,161228910.6,1
515170.SH,2024-03-07,2024-03-08,2024-03-07,0.04966887417218557,-0.011494252873563204,0.08860759493670867,0.009800000000000031,0.014150943396226356,0.006215391569668993,0.01548660949079896,-0.018003273322422242,58846015.55,4
159866.SZ,2024-03-14,2024-03-15,2024-03-14,0.03925066904549501,-0.02170138888888895,0.08261287223823244,0.01454999999999984,-0.004856512141280245,0.0708713536003025,0.011860294788523759,-0.03095442820292349,370653077.15,3
512070.SH,2024-03-14,2024-03-15,2024-03-14,-0.013355592654424098,-0.0066334991708125735,0.005033557046979942,0.006649999999999934,-0.015369441933097638,0.0330276787230428,0.011154509203042878,-0.03074433656957931,171214965.65,0
513520.SH,2024-03-14,2024-03-15,2024-03-14,0.013636363636363669,0.0025923525599480524,0.13499633162142333,0.034849999999999826,0.008606076411526997,0.06858954262026673,0.016585185004395528,-0.02909550917141035,1035989586.55,1
515070.SH,2024-03-14,2024-03-15,2024-03-14,0.024691358024691468,0.019771071800207984,0.21437422552664187,0.05395000000000005,0.041279285979918034,0.05064468714532899,0.02875671904823696,-0.03803803803803796,155135878.1,2
159611.SZ,2024-03-21,2024-03-22,2024-03-21,0.018887722980063026,0.005268703898840821,0.022508038585209,0.008449999999999958,0.008456659619450413,0.046190142662292155,0.012138140766108802,-0.03179487179487184,103047185.75,3
159996.SZ,2024-03-21,2024-03-22,2024-03-21,0.026244343891402844,-0.02372583479789092,0.03638059701492535,0.016950000000000243,-0.012224938875305735,0.05746027766460893,0.011204300435108618,-0.029694323144104806,70681611.45,4
510880.SH,2024-03-21,2024-03-22,2024-03-21,0.0039215686274509665,-0.004874878128046878,-0.0340694006309149,-0.009200000000000319,-0.014419981975022478,0.029343876660739454,0.008583606474871964,-0.04296017560363752,387349564.2,1
515100.SH,2024-03-21,2024-03-22,2024-03-21,-0.0037707390648568095,0.005299015897047843,-0.01263940520446094,-0.0005500000000002725,-0.003190091949708984,0.018942242730946246,0.006434069281307572,-0.01930215293244253,136857437.9,0
515450.SH,2024-03-21,2024-03-22,2024-03-21,0.010023130300693905,-0.0015396458814472824,-0.019652305366591127,-0.0018499999999999073,-0.008409785932721792,0.04746142757994787,0.007172625646575138,-0.029235382308845703,71776262.0,2
159667.SZ,2024-03-28,2024-03-29,2024-03-28,0.022497187851518552,-0.04888416578108401,0.019362186788154823,0.008799999999999919,-0.021590598524186877,0.06162595021180306,0.016770662757518647,-0.09498956158663896,72595329.65,23
159682.SZ,2024-03-28,2024-03-29,2024-03-28,0.016129032258064502,-0.04615384615384621,0.009497964721845387,0.007749999999999924,-0.0242622950819672,0.058880711012359255,0.01848505152925701,-0.07295597484276739,149378088.75,14
159781.SZ,2024-03-28,2024-03-29,2024-03-28,0.006437768240343367,-0.04498977505112467,-0.014767932489451518,0.002799999999999858,-0.034924571192395004,0.05051016716115475,0.01392375664694716,-0.07199999999999995,89468586.1,2
159783.SZ,2024-03-28,2024-03-29,2024-03-28,0.0,-0.0444444444444444,-0.010460251046025104,0.0030999999999999917,-0.03459536687417075,0.051094107551487244,0.014729654245438635,-0.07114624505928846,51535728.8,1
159901.SZ,2024-03-28,2024-03-29,2024-03-28,0.02004909983633385,-0.02352472089314206,0.005749486652977254,0.01729999999999965,-0.01078482853334406,0.04894393797092045,0.010340972152798595,-0.039192399049881144,138238580.1,19
159915.SZ,2024-03-28,2024-03-29,2024-03-28,0.019362186788154823,-0.047670639219935085,-0.0017035775127769437,0.013450000000000406,-0.026982150269821648,0.047705109743015006,0.016651406494736246,-0.07093333333333329,2112817586.65,18
159919.SZ,2024-03-28,2024-03-29,2024-03-28,0.014814814814814836,-0.016433189655172487,0.0019209659714598537,0.012550000000000505,-0.010381373160220253,0.04257273253924532,0.006756057033452819,-0.02756221568102757,1481579089.05,12
159922.SZ,2024-03-28,2024-03-29,2024-03-28,0.03164322723908208,-0.04462868230728545,-0.02537340291524215,0.005349999999999966,-0.02925150559219969,0.03565926008427511,0.011036427024766158,-0.06718885987815482,591705523.5,29
159928.SZ,2024-03-28,2024-03-29,2024-03-28,0.023255813953488413,-0.02824858757062154,0.014150943396226356,0.005300000000000082,-0.0008713331397037782,0.03951129181594948,0.012058801991741232,-0.02824858757062154,89190618.0,26
159949.SZ,2024-03-28,2024-03-29,2024-03-28,0.01822916666666674,-0.04714640198511166,0.010526315789473717,0.00824999999999998,-0.024761904761904763,0.058633746331189895,0.018218464737321034,-0.07299270072992703,688969030.25,17
159967.SZ,2024-03-28,2024-03-29,2024-03-28,0.012195121951219523,-0.04861111111111105,0.0,0.004099999999999937,-0.032599741085088785,0.07235707374531986,0.014627976349383927,-0.08163265306122447,172462273.35,5
159977.SZ,2024-03-28,2024-03-29,2024-03-28,0.021774632553075657,-0.049535603715170184,-0.001626016260162677,0.014900000000000135,-0.028019629570998905,0.04809748543617731,0.016460037857663444,-0.07022900763358786,51895184.55,22
510180.SH,2024-03-28,2024-03-29,2024-03-28,0.012458219386204838,-0.013477088948787075,-0.0024227740763174133,0.004550000000000498,-0.00987420532936567,0.0399114352696015,0.005403775318427631,-0.02056019070321824,92548825.8,7
510210.SH,2024-03-28,2024-03-29,2024-03-28,0.023129251700680253,-0.022606382978723416,-0.005412719891745632,0.00044999999999995044,-0.013753773901375332,0.03334719911259021,0.005772744913895611,-0.030423280423280463,213587737.3,24
510300.SH,2024-03-28,2024-03-29,2024-03-28,0.01454234388366138,-0.01680672268907568,0.001998287182414904,0.011849999999999916,-0.010598714623971217,0.03735543956606313,0.006454811299347212,-0.0275612472160357,3577863900.7,11
510310.SH,2024-03-28,2024-03-29,2024-03-28,0.013994169096209763,-0.01661891117478509,0.0029222676797195923,0.006250000000000089,-0.01052328095718602,0.04355543966623854,0.006348514335506289,-0.027888446215139417,1881508686.65,9
510330.SH,2024-03-28,2024-03-29,2024-03-28,0.014210086375034736,-0.016698603887216,0.001673173452314547,0.012150000000000105,-0.010441058982341156,0.042959827222097235,0.006344937502716299,-0.02774000543921673,1168119963.25,10
510360.SH,2024-03-28,2024-03-29,2024-03-28,0.012529365700861161,-0.016178736517719505,0.003142183817753219,0.004650000000000043,-0.009578469771590381,0.04316343042071202,0.006481916096405251,-0.026033690658499142,113127480.7,8
510500.SH,2024-03-28,2024-03-29,2024-03-28,0.030972615675165294,-0.044160057678442666,-0.023568403608911992,0.005399999999999849,-0.028870189446311367,0.035586952399013994,0.011337131628874573,-0.06832740213523125,2125795408.85,28
510510.SH,2024-03-28,2024-03-29,2024-03-28,0.029320024953212842,-0.043556085918854404,-0.02256097560975623,0.0018499999999999073,-0.028337626913168545,0.034931621429467485,0.010855493242514868,-0.0660377358490567,153280074.65,27
512500.SH,2024-03-28,2024-03-29,2024-03-28,0.031706448165301104,-0.04414261460101865,-0.023247744621790356,0.00295000000000023,-0.028690716491554857,0.0356453687821614,0.011261903936334378,-0.0686767169179231,489346198.4,30
512690.SH,2024-03-28,2024-03-29,2024-03-28,0.023188405797101463,-0.028089887640449285,0.03129657228017879,0.00725000000000009,0.004937554458321225,0.047061506880559545,0.01573860618331867,-0.032303370786516905,372130804.6,25
515170.SH,2024-03-28,2024-03-29,2024-03-28,0.020967741935483897,-0.023474178403755874,0.024630541871921263,0.0047000000000000375,0.0028123744475694323,0.0436350422094256,0.012797155386959951,-0.029687499999999978,62438254.95,21
515380.SH,2024-03-28,2024-03-29,2024-03-28,0.016727652901202372,-0.016653856008198797,0.0028743140841389625,0.013450000000000184,-0.010429424125617204,0.043159598169258295,0.006342666262188693,-0.0262353540499235,110577356.45,15
515800.SH,2024-03-28,2024-03-29,2024-03-28,0.011173184357541999,-0.02310231023102316,-0.0033670033670033517,0.0025999999999999357,-0.01513891199467643,0.041446887152042367,0.00740633523323113,-0.0360262008733625,154908696.55,4
560050.SH,2024-03-28,2024-03-29,2024-03-28,0.009668508287292932,-0.009575923392612817,0.03428571428571425,0.006999999999999895,0.0025617946410025905,0.05397713451714892,0.00787105669804321,-0.017711171662125325,153907527.85,3
561300.SH,2024-03-28,2024-03-29,2024-03-28,0.016973125884016893,-0.016689847009735637,-0.004225352112676051,0.0008500000000000174,-0.012707722385141618,0.04076738609112707,0.005543488291352504,-0.027624309392265012,52044842.8,16
