scope,n_weeks,win_rate,mean_weekly,median_weekly,total_ret,cagr,max_drawdown,calmar,min_weekly,max_weekly,std_weekly,total_weeks,traded_weeks,empty_weeks
ALL_PASS_EQUAL,18,0.3333333333333333,0.001152100570245744,-0.0042252723588555915,0.010082495151448212,0.028587064115221494,-0.16444808098396024,0.17383641052041093,-0.07595907825167039,0.06724690838977744,0.03546572983435978,,,
TOP1,18,0.3888888888888889,-0.001485588039182553,-0.002639717180073886,-0.0389806126785226,-0.10569845629861718,-0.1408438105109815,-0.7504657529155386,-0.08485166177325565,0.09634911833849347,0.039042716058886956,18.0,18.0,0.0
TOP2,18,0.3888888888888889,-0.0003173133303118223,-0.004457299636853679,-0.018536985213397528,-0.051212635560001774,-0.16526255857274152,-0.3098864982019515,-0.08569998975662779,0.10126579154995208,0.039198282092993884,18.0,18.0,0.0
TOP3,18,0.3888888888888889,0.00021306663511037237,-0.0014593607275010432,-0.0071992455054179505,-0.02009560896713425,-0.16124710844113654,-0.12462616639398638,-0.08492936187765143,0.07826889202014353,0.03594257512084264,18.0,18.0,0.0
