code,select_td,buy_td,pred_score,net_ret
515880.SH,2024-07-04,2024-07-05,1.2922647836276198,0.04062229904926529
515050.SH,2024-07-04,2024-07-05,0.8332973587500722,0.05326633165829153
513310.SH,2024-07-04,2024-07-05,-0.0038759124450427184,0.017817371937639104
159941.SZ,2024-07-18,2024-07-19,-0.9935627891193851,-0.041516245487364656
513520.SH,2024-07-25,2024-07-26,0.35346926753073915,-0.007746478873239315
513880.SH,2024-07-25,2024-07-26,0.19182678704997022,-0.023882896764252592
513300.SH,2024-07-25,2024-07-26,-1.086833787484077,-0.005571030640668551
512200.SH,2024-08-29,2024-08-30,1.3812340697044272,0.03054806828391743
512200.SH,2024-09-12,2024-09-13,-6.890113633347873,0.07413945278022926
159687.SZ,2024-10-10,2024-10-11,-3.0720434294415093,0.0015649452269170805
513660.SH,2024-10-17,2024-10-18,4.251676049854958,0.029350971475816445
513600.SH,2024-10-17,2024-10-18,3.8526678859857033,0.008676789587852562
513550.SH,2024-10-17,2024-10-18,3.777012688801918,0.026376146788990917
515180.SH,2024-10-24,2024-10-25,5.478175240158802,-0.008227374719521285
517180.SH,2024-10-24,2024-10-25,2.3484379456155606,-0.005249343832021025
159747.SZ,2024-10-24,2024-10-25,2.070280501971675,-0.003577817531305927
513580.SH,2024-10-31,2024-11-01,4.804403951875235,0.047697368421052655
159747.SZ,2024-10-31,2024-11-01,3.7919544707125725,0.030384271671134888
513890.SH,2024-10-31,2024-11-01,3.7782485610447747,0.03579175704989157
518880.SH,2024-11-14,2024-11-15,-3.134120014780342,0.05235510418490663
159934.SZ,2024-11-14,2024-11-15,-3.1696317672880965,0.053824362606232246
159937.SZ,2024-11-14,2024-11-15,-4.057410571220887,0.052244039270687326
516510.SH,2024-11-21,2024-11-22,1.2543968074925926,-0.012058570198105079
159632.SZ,2024-11-21,2024-11-22,1.050368556062294,0.0029036004645761615
159773.SZ,2024-11-21,2024-11-22,-0.5531278616670617,-0.014416775884665833
159755.SZ,2024-11-28,2024-11-29,4.72711387872293,0.025036818851251752
562500.SH,2024-11-28,2024-11-29,4.61185064086833,0.13342318059299196
159852.SZ,2024-11-28,2024-11-29,3.621126145094976,0.04702970297029685
159755.SZ,2024-12-05,2024-12-06,-1.3483386482830177,-0.011678832116788329
159840.SZ,2024-12-05,2024-12-06,-2.4037731090807966,-0.007312614259597838
162411.SZ,2024-12-05,2024-12-06,-5.0545203993126515,-0.006459948320413411
562500.SH,2024-12-19,2024-12-20,1.223953741565816,-0.008610086100861003
159770.SZ,2024-12-19,2024-12-20,0.14298153309029657,-0.007134363852556391
515210.SH,2024-12-19,2024-12-20,-0.32092777151175256,-0.06971340046475594
562500.SH,2024-12-26,2024-12-27,3.7068549725396314,-0.10268948655256727
159770.SZ,2024-12-26,2024-12-27,3.184063671446036,-0.10495283018867929
510510.SH,2024-12-26,2024-12-27,-0.5012380128210318,-0.07608695652173925
159819.SZ,2024-12-30,2025-01-03,1.4873239861345766,-0.026285714285714357
562500.SH,2024-12-30,2025-01-03,-1.4493364728431724,-0.002621231979030192
512930.SH,2024-12-30,2025-01-03,-2.442149907312765,-0.02715654952076685
