code,first_valid_date,coverage,max_consecutive_missing,n_days,n_valid,InstrumentName,OpenDate,OpenDate_raw,ExchangeID,InstrumentID,fail_reason
517950.SH,2025-12-18,0.0027816411682892906,717,719,2,,,,,,
520820.SH,2025-12-15,0.006954102920723227,714,719,5,,,,,,
159142.SZ,2025-12-12,0.008344923504867872,713,719,6,,,,,,
159141.SZ,2025-12-11,0.009735744089012517,712,719,7,,,,,,
159253.SZ,2025-12-08,0.013908205841446454,709,719,10,,,,,,
520530.SH,2025-12-08,0.013908205841446454,709,719,10,,,,,,
520590.SH,2025-12-01,0.02086230876216968,704,719,15,,,,,,
563510.SH,2025-12-01,0.02086230876216968,704,719,15,,,,,,
159118.SZ,2025-11-27,0.02364394993045897,702,719,17,,,,,,
159123.SZ,2025-11-27,0.02364394993045897,702,719,17,,,,,,
159130.SZ,2025-11-27,0.02364394993045897,702,719,17,,,,,,
159133.SZ,2025-11-25,0.02642559109874826,700,719,19,,,,,,
515730.SH,2025-11-25,0.02642559109874826,700,719,19,,,,,,
520950.SH,2025-11-25,0.02642559109874826,700,719,19,,,,,,
159108.SZ,2025-11-24,0.027816411682892908,699,719,20,,,,,,
159121.SZ,2025-11-24,0.027816411682892908,699,719,20,,,,,,
512620.SH,2025-11-21,0.02920723226703755,698,719,21,,,,,,
159127.SZ,2025-11-20,0.030598052851182198,697,719,22,,,,,,
515370.SH,2025-11-18,0.03337969401947149,695,719,24,,,,,,
520570.SH,2025-11-17,0.03477051460361613,694,719,25,,,,,,
159129.SZ,2025-11-14,0.03616133518776078,693,719,26,,,,,,
563530.SH,2025-11-14,0.03616133518776078,693,719,26,,,,,,
159100.SZ,2025-11-13,0.037552155771905425,692,719,27,,,,,,
159119.SZ,2025-11-13,0.037552155771905425,692,719,27,,,,,,
159120.SZ,2025-11-13,0.037552155771905425,692,719,27,,,,,,
159128.SZ,2025-11-13,0.037552155771905425,692,719,27,,,,,,
159131.SZ,2025-11-13,0.037552155771905425,692,719,27,,,,,,
520870.SH,2025-11-13,0.037552155771905425,692,719,27,,,,,,
563570.SH,2025-11-11,0.04033379694019471,690,719,29,,,,,,
520650.SH,2025-11-10,0.04172461752433936,689,719,30,,,,,,
561660.SH,2025-11-10,0.04172461752433936,689,719,30,,,,,,
563380.SH,2025-11-07,0.043115438108484005,688,719,31,,,,,,
563980.SH,2025-11-07,0.043115438108484005,688,719,31,,,,,,
159125.SZ,2025-11-06,0.04450625869262865,687,719,32,,,,,,
508029.SH,2025-11-06,0.04450625869262865,687,719,32,,,,,,
563590.SH,2025-11-05,0.0458970792767733,686,719,33,,,,,,
159260.SZ,2025-11-04,0.04728789986091794,685,719,34,,,,,,
159295.SZ,2025-11-04,0.04728789986091794,685,719,34,,,,,,
159105.SZ,2025-11-03,0.048678720445062586,684,719,35,,,,,,
159122.SZ,2025-11-03,0.048678720445062586,684,719,35,,,,,,
159126.SZ,2025-11-03,0.048678720445062586,684,719,35,,,,,,
180607.SZ,2025-10-31,0.05006954102920723,683,719,36,,,,,,
520960.SH,2025-10-31,0.05006954102920723,683,719,36,,,,,,
563750.SH,2025-10-30,0.05146036161335188,682,719,37,,,,,,
510670.SH,2025-10-29,0.05285118219749652,681,719,38,,,,,,
159106.SZ,2025-10-22,0.059805285118219746,676,719,43,,,,,,
512630.SH,2025-10-22,0.059805285118219746,676,719,43,,,,,,
530100.SH,2025-10-22,0.059805285118219746,676,719,43,,,,,,
159285.SZ,2025-10-20,0.06258692628650904,674,719,45,,,,,,
159117.SZ,2025-10-17,0.06397774687065369,673,719,46,,,,,,
563890.SH,2025-10-17,0.06397774687065369,673,719,46,,,,,,
589950.SH,2025-10-17,0.06397774687065369,673,719,46,,,,,,
588140.SH,2025-10-15,0.06675938803894298,671,719,48,,,,,,
589110.SH,2025-10-15,0.06675938803894298,671,719,48,,,,,,
563670.SH,2025-10-14,0.06815020862308763,670,719,49,,,,,,
520560.SH,2025-10-13,0.06954102920723226,669,719,50,,,,,,
159109.SZ,2025-10-10,0.07093184979137691,668,719,51,,,,,,
563690.SH,2025-10-10,0.07093184979137691,668,719,51,,,,,,
515720.SH,2025-10-09,0.07232267037552156,667,719,52,,,,,,
520920.SH,2025-09-30,0.0737134909596662,666,719,53,,,,,,
530380.SH,2025-09-30,0.0737134909596662,666,719,53,,,,,,
159275.SZ,2025-09-29,0.07510431154381085,665,719,54,,,,,,
159279.SZ,2025-09-29,0.07510431154381085,665,719,54,,,,,,
508091.SH,2025-09-29,0.07510431154381085,665,719,54,,,,,,
159288.SZ,2025-09-26,0.07649513212795549,664,719,55,,,,,,
563600.SH,2025-09-26,0.07649513212795549,664,719,55,,,,,,
589780.SH,2025-09-26,0.07649513212795549,664,719,55,,,,,,
520720.SH,2025-09-25,0.07788595271210014,663,719,56,,,,,,
159110.SZ,2025-09-24,0.07927677329624479,662,719,57,,,,,,
159111.SZ,2025-09-24,0.07927677329624479,662,719,57,,,,,,
159112.SZ,2025-09-24,0.07927677329624479,662,719,57,,,,,,
159113.SZ,2025-09-24,0.07927677329624479,662,719,57,,,,,,
159115.SZ,2025-09-24,0.07927677329624479,662,719,57,,,,,,
159116.SZ,2025-09-24,0.07927677329624479,662,719,57,,,,,,
511150.SH,2025-09-24,0.07927677329624479,662,719,57,,,,,,
551060.SH,2025-09-24,0.07927677329624479,662,719,57,,,,,,
551300.SH,2025-09-24,0.07927677329624479,662,719,57,,,,,,
551510.SH,2025-09-24,0.07927677329624479,662,719,57,,,,,,
551520.SH,2025-09-24,0.07927677329624479,662,719,57,,,,,,
551560.SH,2025-09-24,0.07927677329624479,662,719,57,,,,,,
551580.SH,2025-09-24,0.07927677329624479,662,719,57,,,,,,
551800.SH,2025-09-24,0.07927677329624479,662,719,57,,,,,,
159107.SZ,2025-09-22,0.08205841446453407,660,719,59,,,,,,
159297.SZ,2025-09-22,0.08205841446453407,660,719,59,,,,,,
589960.SH,2025-09-22,0.08205841446453407,660,719,59,,,,,,
159272.SZ,2025-09-19,0.08344923504867872,659,719,60,,,,,,
589120.SH,2025-09-19,0.08344923504867872,659,719,60,,,,,,
560570.SH,2025-09-18,0.08484005563282336,658,719,61,,,,,,
159290.SZ,2025-09-17,0.08623087621696801,657,719,62,,,,,,
563230.SH,2025-09-17,0.08623087621696801,657,719,62,,,,,,
159102.SZ,2025-09-16,0.08762169680111266,656,719,63,,,,,,
159289.SZ,2025-09-15,0.0890125173852573,655,719,64,,,,,,
589820.SH,2025-09-15,0.0890125173852573,655,719,64,,,,,,
508082.SH,2025-09-12,0.09040333796940195,654,719,65,,,,,,
588550.SH,2025-09-12,0.09040333796940195,654,719,65,,,,,,
159299.SZ,2025-09-11,0.0917941585535466,653,719,66,,,,,,
159103.SZ,2025-09-10,0.09318497913769123,652,719,67,,,,,,
159298.SZ,2025-09-08,0.09596662030598054,650,719,69,,,,,,
561680.SH,2025-09-05,0.09735744089012517,649,719,70,,,,,,
589560.SH,2025-09-05,0.09735744089012517,649,719,70,,,,,,
159296.SZ,2025-09-04,0.09874826147426982,648,719,71,,,,,,
589020.SH,2025-09-04,0.09874826147426982,648,719,71,,,,,,
159101.SZ,2025-09-03,0.10013908205841446,647,719,72,,,,,,
563320.SH,2025-09-03,0.10013908205841446,647,719,72,,,,,,
159281.SZ,2025-09-02,0.10152990264255911,646,719,73,,,,,,
159286.SZ,2025-09-02,0.10152990264255911,646,719,73,,,,,,
159292.SZ,2025-09-02,0.10152990264255911,646,719,73,,,,,,
159291.SZ,2025-09-01,0.10292072322670376,645,719,74,,,,,,
560770.SH,2025-09-01,0.10292072322670376,645,719,74,,,,,,
159500.SZ,2025-08-29,0.1043115438108484,644,719,75,,,,,,
530530.SH,2025-08-29,0.1043115438108484,644,719,75,,,,,,
588690.SH,2025-08-29,0.1043115438108484,644,719,75,,,,,,
159259.SZ,2025-08-28,0.10570236439499305,643,719,76,,,,,,
159287.SZ,2025-08-27,0.1070931849791377,642,719,77,,,,,,
589090.SH,2025-08-27,0.1070931849791377,642,719,77,,,,,,
520840.SH,2025-08-25,0.10987482614742698,640,719,79,,,,,,
159283.SZ,2025-08-21,0.11265646731571627,638,719,81,,,,,,
159369.SZ,2025-08-21,0.11265646731571627,638,719,81,,,,,,
563620.SH,2025-08-20,0.11404728789986092,637,719,82,,,,,,
520620.SH,2025-08-19,0.11543810848400557,636,719,83,,,,,,
520670.SH,2025-08-19,0.11543810848400557,636,719,83,,,,,,
159280.SZ,2025-08-18,0.1168289290681502,635,719,84,,,,,,
512370.SH,2025-08-18,0.1168289290681502,635,719,84,,,,,,
589050.SH,2025-08-18,0.1168289290681502,635,719,84,,,,,,
159277.SZ,2025-08-14,0.11961057023643949,633,719,86,,,,,,
512030.SH,2025-08-13,0.12100139082058414,632,719,87,,,,,,
159278.SZ,2025-08-12,0.12239221140472879,631,719,88,,,,,,
159271.SZ,2025-08-11,0.12378303198887343,630,719,89,,,,,,
589850.SH,2025-08-11,0.12378303198887343,630,719,89,,,,,,
180901.SZ,2025-08-08,0.12517385257301808,629,719,90,,,,,,
508060.SH,2025-08-08,0.12517385257301808,629,719,90,,,,,,
589200.SH,2025-08-08,0.12517385257301808,629,719,90,,,,,,
520510.SH,2025-08-07,0.12656467315716272,628,719,91,,,,,,
520970.SH,2025-08-07,0.12656467315716272,628,719,91,,,,,,
159273.SZ,2025-08-06,0.12795549374130738,627,719,92,,,,,,
560120.SH,2025-08-05,0.12934631432545202,626,719,93,,,,,,
159255.SZ,2025-08-04,0.13073713490959665,625,719,94,,,,,,
159256.SZ,2025-08-04,0.13073713490959665,625,719,94,,,,,,
159258.SZ,2025-08-01,0.13212795549374132,624,719,95,,,,,,
159266.SZ,2025-08-01,0.13212795549374132,624,719,95,,,,,,
159267.SZ,2025-08-01,0.13212795549374132,624,719,95,,,,,,
508016.SH,2025-08-01,0.13212795549374132,624,719,95,,,,,,
520690.SH,2025-08-01,0.13212795549374132,624,719,95,,,,,,
588980.SH,2025-08-01,0.13212795549374132,624,719,95,,,,,,
589720.SH,2025-08-01,0.13212795549374132,624,719,95,,,,,,
508090.SH,2025-07-29,0.13630041724617525,621,719,98,,,,,,
159257.SZ,2025-07-28,0.1376912378303199,620,719,99,,,,,,
159276.SZ,2025-07-28,0.1376912378303199,620,719,99,,,,,,
588920.SH,2025-07-28,0.1376912378303199,620,719,99,,,,,,
589550.SH,2025-07-28,0.1376912378303199,620,719,99,,,,,,
508039.SH,2025-07-25,0.13908205841446453,619,719,100,,,,,,
520860.SH,2025-07-25,0.13908205841446453,619,719,100,,,,,,
562870.SH,2025-07-25,0.13908205841446453,619,719,100,,,,,,
563580.SH,2025-07-25,0.13908205841446453,619,719,100,,,,,,
159242.SZ,2025-07-24,0.1404728789986092,618,719,101,,,,,,
159248.SZ,2025-07-24,0.1404728789986092,618,719,101,,,,,,
159251.SZ,2025-07-24,0.1404728789986092,618,719,101,,,,,,
159270.SZ,2025-07-24,0.1404728789986092,618,719,101,,,,,,
159268.SZ,2025-07-21,0.14464534075104313,615,719,104,,,,,,
512060.SH,2025-07-18,0.14603616133518776,614,719,105,,,,,,
159200.SZ,2025-07-17,0.1474269819193324,613,719,106,,,,,,
159400.SZ,2025-07-17,0.1474269819193324,613,719,106,,,,,,
159600.SZ,2025-07-17,0.1474269819193324,613,719,106,,,,,,
159700.SZ,2025-07-17,0.1474269819193324,613,719,106,,,,,,
511120.SH,2025-07-17,0.1474269819193324,613,719,106,,,,,,
551000.SH,2025-07-17,0.1474269819193324,613,719,106,,,,,,
551030.SH,2025-07-17,0.1474269819193324,613,719,106,,,,,,
551500.SH,2025-07-17,0.1474269819193324,613,719,106,,,,,,
551550.SH,2025-07-17,0.1474269819193324,613,719,106,,,,,,
551900.SH,2025-07-17,0.1474269819193324,613,719,106,,,,,,
159311.SZ,2025-07-15,0.1502086230876217,611,719,108,,,,,,
159246.SZ,2025-07-10,0.15438108484005564,608,719,111,,,,,,
159269.SZ,2025-07-10,0.15438108484005564,608,719,111,,,,,,
159263.SZ,2025-07-08,0.1571627260083449,606,719,113,,,,,,
588520.SH,2025-07-08,0.1571627260083449,606,719,113,,,,,,
159237.SZ,2025-07-07,0.15855354659248957,605,719,114,,,,,,
159261.SZ,2025-07-07,0.15855354659248957,605,719,114,,,,,,
159262.SZ,2025-07-07,0.15855354659248957,605,719,114,,,,,,
520880.SH,2025-07-07,0.15855354659248957,605,719,114,,,,,,
159223.SZ,2025-07-03,0.16133518776077885,603,719,116,,,,,,
159249.SZ,2025-07-02,0.1627260083449235,602,719,117,,,,,,
159265.SZ,2025-07-02,0.1627260083449235,602,719,117,,,,,,
520980.SH,2025-07-02,0.1627260083449235,602,719,117,,,,,,
561090.SH,2025-07-02,0.1627260083449235,602,719,117,,,,,,
512130.SH,2025-07-01,0.16411682892906815,601,719,118,,,,,,
563630.SH,2025-07-01,0.16411682892906815,601,719,118,,,,,,
589380.SH,2025-07-01,0.16411682892906815,601,719,118,,,,,,
159203.SZ,2025-06-30,0.16550764951321278,600,719,119,,,,,,
159365.SZ,2025-06-30,0.16550764951321278,600,719,119,,,,,,
159550.SZ,2025-06-27,0.16689847009735745,599,719,120,,,,,,
180606.SZ,2025-06-27,0.16689847009735745,599,719,120,,,,,,
508080.SH,2025-06-26,0.16828929068150209,598,719,121,,,,,,
501227.SH,2025-06-25,0.16968011126564672,597,719,122,,,,,,
561770.SH,2025-06-24,0.17107093184979139,596,719,123,,,,,,
159245.SZ,2025-06-19,0.17524339360222532,593,719,126,,,,,,
562050.SH,2025-06-19,0.17524339360222532,593,719,126,,,,,,
159228.SZ,2025-06-18,0.17663421418636996,592,719,127,,,,,,
159240.SZ,2025-06-17,0.1780250347705146,591,719,128,,,,,,
588270.SH,2025-06-16,0.17941585535465926,590,719,129,,,,,,
589180.SH,2025-06-16,0.17941585535465926,590,719,129,,,,,,
588670.SH,2025-06-13,0.1808066759388039,589,719,130,,,,,,
159205.SZ,2025-06-12,0.18219749652294853,588,719,131,,,,,,
589580.SH,2025-06-11,0.1835883171070932,587,719,132,,,,,,
159387.SZ,2025-06-10,0.18497913769123783,586,719,133,,,,,,
159238.SZ,2025-06-09,0.18636995827538247,585,719,134,,,,,,
159372.SZ,2025-06-09,0.18636995827538247,585,719,134,,,,,,
520940.SH,2025-06-09,0.18636995827538247,585,719,134,,,,,,
563760.SH,2025-06-06,0.18776077885952713,584,719,135,,,,,,
589700.SH,2025-06-05,0.18915159944367177,583,719,136,,,,,,
159210.SZ,2025-06-04,0.1905424200278164,582,719,137,,,,,,
159233.SZ,2025-06-04,0.1905424200278164,582,719,137,,,,,,
588710.SH,2025-06-04,0.1905424200278164,582,719,137,,,,,,
588940.SH,2025-06-03,0.19193324061196107,581,719,138,,,,,,
159230.SZ,2025-05-30,0.1933240611961057,580,719,139,,,,,,
159385.SZ,2025-05-30,0.1933240611961057,580,719,139,,,,,,
159389.SZ,2025-05-30,0.1933240611961057,580,719,139,,,,,,
561220.SH,2025-05-30,0.1933240611961057,580,719,139,,,,,,
561750.SH,2025-05-30,0.1933240611961057,580,719,139,,,,,,
159226.SZ,2025-05-29,0.19471488178025034,579,719,140,,,,,,
159241.SZ,2025-05-29,0.19471488178025034,579,719,140,,,,,,
159239.SZ,2025-05-28,0.19610570236439498,578,719,141,,,,,,
588130.SH,2025-05-28,0.19610570236439498,578,719,141,,,,,,
159218.SZ,2025-05-22,0.20166898470097358,574,719,145,,,,,,
563830.SH,2025-05-22,0.20166898470097358,574,719,145,,,,,,
508085.SH,2025-05-21,0.20305980528511822,573,719,146,,,,,,
563060.SH,2025-05-19,0.20584144645340752,571,719,148,,,,,,
159227.SZ,2025-05-16,0.20723226703755215,570,719,149,,,,,,
159236.SZ,2025-05-16,0.20723226703755215,570,719,149,,,,,,
563550.SH,2025-05-16,0.20723226703755215,570,719,149,,,,,,
563770.SH,2025-05-16,0.20723226703755215,570,719,149,,,,,,
159229.SZ,2025-05-15,0.2086230876216968,569,719,150,,,,,,
563680.SH,2025-05-15,0.2086230876216968,569,719,150,,,,,,
159392.SZ,2025-05-14,0.21001390820584145,568,719,151,,,,,,
159219.SZ,2025-05-13,0.2114047287899861,567,719,152,,,,,,
159221.SZ,2025-05-13,0.2114047287899861,567,719,152,,,,,,
563780.SH,2025-05-13,0.2114047287899861,567,719,152,,,,,,
159208.SZ,2025-05-12,0.21279554937413073,566,719,153,,,,,,
159220.SZ,2025-05-12,0.21279554937413073,566,719,153,,,,,,
589980.SH,2025-05-12,0.21279554937413073,566,719,153,,,,,,
159382.SZ,2025-05-09,0.2141863699582754,565,719,154,,,,,,
561870.SH,2025-05-09,0.2141863699582754,565,719,154,,,,,,
563900.SH,2025-05-07,0.21696801112656466,563,719,156,,,,,,
159213.SZ,2025-04-30,0.21974965229485396,561,719,158,,,,,,
159232.SZ,2025-04-30,0.21974965229485396,561,719,158,,,,,,
159235.SZ,2025-04-30,0.21974965229485396,561,719,158,,,,,,
561080.SH,2025-04-30,0.21974965229485396,561,719,158,,,,,,
563390.SH,2025-04-30,0.21974965229485396,561,719,158,,,,,,
159231.SZ,2025-04-29,0.2211404728789986,560,719,159,,,,,,
516460.SH,2025-04-28,0.22253129346314326,559,719,160,,,,,,
563700.SH,2025-04-28,0.22253129346314326,559,719,160,,,,,,
510320.SH,2025-04-25,0.2239221140472879,558,719,161,,,,,,
563990.SH,2025-04-24,0.22531293463143254,557,719,162,,,,,,
588850.SH,2025-04-24,0.22531293463143254,557,719,162,,,,,,
159391.SZ,2025-04-21,0.22809457579972184,554,719,164,,,,,,
180305.SZ,2025-04-21,0.22948539638386647,554,719,165,,,,,,
560820.SH,2025-04-18,0.22948539638386647,553,719,165,,,,,,
159222.SZ,2025-04-17,0.23226703755215578,552,719,167,,,,,,
159225.SZ,2025-04-17,0.23226703755215578,552,719,167,,,,,,
589300.SH,2025-04-17,0.23226703755215578,552,719,167,,,,,,
159202.SZ,2025-04-16,0.2336578581363004,551,719,168,,,,,,
159377.SZ,2025-04-15,0.23504867872044508,550,719,169,,,,,,
562080.SH,2025-04-15,0.23504867872044508,550,719,169,,,,,,
588720.SH,2025-04-15,0.23504867872044508,550,719,169,,,,,,
159211.SZ,2025-04-14,0.2364394993045897,549,719,170,,,,,,
159366.SZ,2025-04-14,0.2364394993045897,549,719,170,,,,,,
512250.SH,2025-04-14,0.2364394993045897,549,719,170,,,,,,
588040.SH,2025-04-14,0.2364394993045897,549,719,170,,,,,,
159216.SZ,2025-04-11,0.23783031988873435,548,719,171,,,,,,
159207.SZ,2025-04-09,0.24061196105702365,546,719,173,,,,,,
159212.SZ,2025-04-09,0.24061196105702365,546,719,173,,,,,,
159390.SZ,2025-04-09,0.24061196105702365,546,719,173,,,,,,
589010.SH,2025-04-09,0.24061196105702365,546,719,173,,,,,,
588170.SH,2025-04-08,0.24200278164116829,545,719,174,,,,,,
159215.SZ,2025-04-07,0.24339360222531292,544,719,175,,,,,,
159388.SZ,2025-04-07,0.24339360222531292,544,719,175,,,,,,
512240.SH,2025-04-07,0.24339360222531292,544,719,175,,,,,,
588910.SH,2025-04-07,0.24339360222531292,544,719,175,,,,,,
589100.SH,2025-04-07,0.24339360222531292,544,719,175,,,,,,
159217.SZ,2025-04-03,0.24478442280945759,543,719,176,,,,,,
563650.SH,2025-04-03,0.24478442280945759,543,719,176,,,,,,
563660.SH,2025-04-02,0.24617524339360222,542,719,177,,,,,,
560630.SH,2025-04-01,0.24756606397774686,541,719,178,,,,,,
508055.SH,2025-03-31,0.24895688456189152,540,719,179,,,,,,
589060.SH,2025-03-27,0.2517385257301808,538,719,181,,,,,,
159316.SZ,2025-03-26,0.25312934631432543,537,719,182,,,,,,
