code,select_time,trade_time,behave,strategy_name,date
159779.SZ,2024-07-04,2024-07-05,PASS,etf_weekly_pullback,20240704
159811.SZ,2024-07-04,2024-07-05,PASS,etf_weekly_pullback,20240704
159994.SZ,2024-07-04,2024-07-05,PASS,etf_weekly_pullback,20240704
159997.SZ,2024-07-04,2024-07-05,PASS,etf_weekly_pullback,20240704
513310.SH,2024-07-04,2024-07-05,PASS,etf_weekly_pullback,20240704
515050.SH,2024-07-04,2024-07-05,PASS,etf_weekly_pullback,20240704
515260.SH,2024-07-04,2024-07-05,PASS,etf_weekly_pullback,20240704
515320.SH,2024-07-04,2024-07-05,PASS,etf_weekly_pullback,20240704
515880.SH,2024-07-04,2024-07-05,PASS,etf_weekly_pullback,20240704
561100.SH,2024-07-04,2024-07-05,PASS,etf_weekly_pullback,20240704
561310.SH,2024-07-04,2024-07-05,PASS,etf_weekly_pullback,20240704
561600.SH,2024-07-04,2024-07-05,PASS,etf_weekly_pullback,20240704
562950.SH,2024-07-04,2024-07-05,PASS,etf_weekly_pullback,20240704
