code,select_time,trade_time,behave,strategy_name,date
159611.SZ,2024-04-25,2024-04-26,PASS,etf_weekly_pullback,20240425
159625.SZ,2024-04-25,2024-04-26,PASS,etf_weekly_pullback,20240425
159812.SZ,2024-04-25,2024-04-26,PASS,etf_weekly_pullback,20240425
159830.SZ,2024-04-25,2024-04-26,PASS,etf_weekly_pullback,20240425
159831.SZ,2024-04-25,2024-04-26,PASS,etf_weekly_pullback,20240425
159834.SZ,2024-04-25,2024-04-26,PASS,etf_weekly_pullback,20240425
159871.SZ,2024-04-25,2024-04-26,PASS,etf_weekly_pullback,20240425
159881.SZ,2024-04-25,2024-04-26,PASS,etf_weekly_pullback,20240425
159934.SZ,2024-04-25,2024-04-26,PASS,etf_weekly_pullback,20240425
159937.SZ,2024-04-25,2024-04-26,PASS,etf_weekly_pullback,20240425
160216.SZ,2024-04-25,2024-04-26,PASS,etf_weekly_pullback,20240425
160719.SZ,2024-04-25,2024-04-26,PASS,etf_weekly_pullback,20240425
161226.SZ,2024-04-25,2024-04-26,PASS,etf_weekly_pullback,20240425
161810.SZ,2024-04-25,2024-04-26,PASS,etf_weekly_pullback,20240425
164701.SZ,2024-04-25,2024-04-26,PASS,etf_weekly_pullback,20240425
165513.SZ,2024-04-25,2024-04-26,PASS,etf_weekly_pullback,20240425
512400.SH,2024-04-25,2024-04-26,PASS,etf_weekly_pullback,20240425
518600.SH,2024-04-25,2024-04-26,PASS,etf_weekly_pullback,20240425
518660.SH,2024-04-25,2024-04-26,PASS,etf_weekly_pullback,20240425
518680.SH,2024-04-25,2024-04-26,PASS,etf_weekly_pullback,20240425
518800.SH,2024-04-25,2024-04-26,PASS,etf_weekly_pullback,20240425
518850.SH,2024-04-25,2024-04-26,PASS,etf_weekly_pullback,20240425
518860.SH,2024-04-25,2024-04-26,PASS,etf_weekly_pullback,20240425
518880.SH,2024-04-25,2024-04-26,PASS,etf_weekly_pullback,20240425
518890.SH,2024-04-25,2024-04-26,PASS,etf_weekly_pullback,20240425
561560.SH,2024-04-25,2024-04-26,PASS,etf_weekly_pullback,20240425
561700.SH,2024-04-25,2024-04-26,PASS,etf_weekly_pullback,20240425
562350.SH,2024-04-25,2024-04-26,PASS,etf_weekly_pullback,20240425
165520.SZ,2024-04-25,2024-04-26,PASS,etf_weekly_pullback,20240425
