code,select_time,trade_time,behave,strategy_name,date
159001.SZ,2024-01-30,2024-02-02,SKIP_WEEKLY_GAIN_TOO_LOW,etf_weekly_pullback,20240130
159003.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159005.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159601.SZ,2024-01-30,2024-02-02,SKIP_WEEKLY_GAIN_TOO_LOW,etf_weekly_pullback,20240130
159602.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159603.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159605.SZ,2024-01-30,2024-02-02,SKIP_RECENT_8W_NOT_POSITIVE,etf_weekly_pullback,20240130
159606.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159607.SZ,2024-01-30,2024-02-02,SKIP_RECENT_8W_NOT_POSITIVE,etf_weekly_pullback,20240130
159608.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159609.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159610.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159611.SZ,2024-01-30,2024-02-02,SKIP_PULLBACK_3W_NOT_ALL_DOWN,etf_weekly_pullback,20240130
159613.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159615.SZ,2024-01-30,2024-02-02,SKIP_RECENT_8W_NOT_POSITIVE,etf_weekly_pullback,20240130
159616.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159618.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159619.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159623.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159625.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159628.SZ,2024-01-30,2024-02-02,SKIP_WEEKLY_GAIN_TOO_LOW,etf_weekly_pullback,20240130
159629.SZ,2024-01-30,2024-02-02,SKIP_WEEKLY_GAIN_TOO_LOW,etf_weekly_pullback,20240130
159631.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159632.SZ,2024-01-30,2024-02-02,SKIP_PULLBACK_3W_NOT_ALL_DOWN,etf_weekly_pullback,20240130
159633.SZ,2024-01-30,2024-02-02,SKIP_WEEKLY_GAIN_TOO_LOW,etf_weekly_pullback,20240130
159635.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159636.SZ,2024-01-30,2024-02-02,SKIP_RECENT_8W_NOT_POSITIVE,etf_weekly_pullback,20240130
159637.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159638.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159639.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159640.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159641.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159642.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159643.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159647.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159649.SZ,2024-01-30,2024-02-02,SKIP_WEEKLY_GAIN_TOO_LOW,etf_weekly_pullback,20240130
159650.SZ,2024-01-30,2024-02-02,SKIP_WEEKLY_GAIN_TOO_LOW,etf_weekly_pullback,20240130
159651.SZ,2024-01-30,2024-02-02,SKIP_WEEKLY_GAIN_TOO_LOW,etf_weekly_pullback,20240130
159655.SZ,2024-01-30,2024-02-02,SKIP_PULLBACK_3W_NOT_ALL_DOWN,etf_weekly_pullback,20240130
159658.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159663.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159667.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159675.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159680.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159681.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159682.SZ,2024-01-30,2024-02-02,SKIP_RECENT_8W_NOT_POSITIVE,etf_weekly_pullback,20240130
159703.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159706.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159707.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159708.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159709.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159712.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159713.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159715.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159718.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159720.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159725.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159726.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159729.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159730.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159732.SZ,2024-01-30,2024-02-02,SKIP_RECENT_8W_NOT_POSITIVE,etf_weekly_pullback,20240130
159735.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159736.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159738.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159739.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159740.SZ,2024-01-30,2024-02-02,SKIP_RECENT_8W_NOT_POSITIVE,etf_weekly_pullback,20240130
159741.SZ,2024-01-30,2024-02-02,SKIP_RECENT_8W_NOT_POSITIVE,etf_weekly_pullback,20240130
159742.SZ,2024-01-30,2024-02-02,SKIP_RECENT_8W_NOT_POSITIVE,etf_weekly_pullback,20240130
159743.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159745.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159747.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159748.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159751.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159752.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159755.SZ,2024-01-30,2024-02-02,SKIP_RECENT_8W_NOT_POSITIVE,etf_weekly_pullback,20240130
159757.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159758.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159760.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159761.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159763.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159766.SZ,2024-01-30,2024-02-02,SKIP_WEEKLY_GAIN_TOO_LOW,etf_weekly_pullback,20240130
159767.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159768.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159770.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159773.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159775.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159776.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159778.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159779.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159780.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159781.SZ,2024-01-30,2024-02-02,SKIP_WEEKLY_GAIN_TOO_LOW,etf_weekly_pullback,20240130
159782.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159783.SZ,2024-01-30,2024-02-02,SKIP_RECENT_8W_NOT_POSITIVE,etf_weekly_pullback,20240130
159786.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159787.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159788.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159790.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159792.SZ,2024-01-30,2024-02-02,SKIP_RECENT_8W_NOT_POSITIVE,etf_weekly_pullback,20240130
159795.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159796.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159797.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159798.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159801.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159804.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159805.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159806.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159807.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159808.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159810.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159811.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159812.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159813.SZ,2024-01-30,2024-02-02,SKIP_WEEKLY_GAIN_TOO_LOW,etf_weekly_pullback,20240130
159814.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159819.SZ,2024-01-30,2024-02-02,SKIP_WEEKLY_GAIN_TOO_LOW,etf_weekly_pullback,20240130
159820.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159822.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159824.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159825.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159827.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159828.SZ,2024-01-30,2024-02-02,SKIP_WEEKLY_GAIN_TOO_LOW,etf_weekly_pullback,20240130
159830.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159831.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159834.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159835.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159836.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159837.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159838.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159839.SZ,2024-01-30,2024-02-02,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20240130
159840.SZ,2024-01-30,2024-02-02,SKIP_RECENT_8W_NOT_POSITIVE,etf_weekly_pullback,20240130
