code,select_time,trade_time,behave,strategy_name,date
159001.SZ,2025-01-16,2025-01-17,SKIP_WEEKLY_GAIN_TOO_LOW,etf_weekly_pullback,20250116
159003.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159005.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159601.SZ,2025-01-16,2025-01-17,SKIP_WEEKLY_GAIN_TOO_LOW,etf_weekly_pullback,20250116
159602.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159603.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159605.SZ,2025-01-16,2025-01-17,SKIP_WEEKLY_GAIN_TOO_LOW,etf_weekly_pullback,20250116
159606.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159607.SZ,2025-01-16,2025-01-17,SKIP_WEEKLY_GAIN_TOO_LOW,etf_weekly_pullback,20250116
159608.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159609.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159610.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159611.SZ,2025-01-16,2025-01-17,SKIP_WEEKLY_GAIN_TOO_LOW,etf_weekly_pullback,20250116
159613.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159615.SZ,2025-01-16,2025-01-17,SKIP_WEEKLY_GAIN_TOO_LOW,etf_weekly_pullback,20250116
159616.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159618.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159619.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159623.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159625.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159628.SZ,2025-01-16,2025-01-17,SKIP_RECENT_8W_NOT_POSITIVE,etf_weekly_pullback,20250116
159629.SZ,2025-01-16,2025-01-17,SKIP_WEEKLY_GAIN_TOO_LOW,etf_weekly_pullback,20250116
159631.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159632.SZ,2025-01-16,2025-01-17,SKIP_PULLBACK_3W_NOT_ALL_DOWN,etf_weekly_pullback,20250116
159633.SZ,2025-01-16,2025-01-17,SKIP_WEEKLY_GAIN_TOO_LOW,etf_weekly_pullback,20250116
159635.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159636.SZ,2025-01-16,2025-01-17,SKIP_WEEKLY_GAIN_TOO_LOW,etf_weekly_pullback,20250116
159637.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159638.SZ,2025-01-16,2025-01-17,SKIP_WEEKLY_GAIN_TOO_LOW,etf_weekly_pullback,20250116
159639.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159640.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159641.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159642.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159643.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159647.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159649.SZ,2025-01-16,2025-01-17,SKIP_WEEKLY_GAIN_TOO_LOW,etf_weekly_pullback,20250116
159650.SZ,2025-01-16,2025-01-17,SKIP_WEEKLY_GAIN_TOO_LOW,etf_weekly_pullback,20250116
159651.SZ,2025-01-16,2025-01-17,SKIP_WEEKLY_GAIN_TOO_LOW,etf_weekly_pullback,20250116
159655.SZ,2025-01-16,2025-01-17,SKIP_WEEKLY_GAIN_TOO_LOW,etf_weekly_pullback,20250116
159658.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159663.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159667.SZ,2025-01-16,2025-01-17,SKIP_TREND_NOT_UP,etf_weekly_pullback,20250116
159675.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159680.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159681.SZ,2025-01-16,2025-01-17,SKIP_WEEKLY_GAIN_TOO_LOW,etf_weekly_pullback,20250116
159682.SZ,2025-01-16,2025-01-17,SKIP_WEEKLY_GAIN_TOO_LOW,etf_weekly_pullback,20250116
159703.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159706.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159707.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159708.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159709.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159712.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159713.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159715.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159718.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159720.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159725.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159726.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159729.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159730.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159732.SZ,2025-01-16,2025-01-17,SKIP_WEEKLY_GAIN_TOO_LOW,etf_weekly_pullback,20250116
159735.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159736.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159738.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
159739.SZ,2025-01-16,2025-01-17,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20250116
