code,select_time,trade_time,behave,strategy_name,date
159611.SZ,2024-03-21,2024-03-22,PASS,etf_weekly_pullback,20240321
159625.SZ,2024-03-21,2024-03-22,PASS,etf_weekly_pullback,20240321
159709.SZ,2024-03-21,2024-03-22,PASS,etf_weekly_pullback,20240321
159730.SZ,2024-03-21,2024-03-22,PASS,etf_weekly_pullback,20240321
159996.SZ,2024-03-21,2024-03-22,PASS,etf_weekly_pullback,20240321
180102.SZ,2024-03-21,2024-03-22,PASS,etf_weekly_pullback,20240321
180202.SZ,2024-03-21,2024-03-22,PASS,etf_weekly_pullback,20240321
180501.SZ,2024-03-21,2024-03-22,PASS,etf_weekly_pullback,20240321
508018.SH,2024-03-21,2024-03-22,PASS,etf_weekly_pullback,20240321
508027.SH,2024-03-21,2024-03-22,PASS,etf_weekly_pullback,20240321
508066.SH,2024-03-21,2024-03-22,PASS,etf_weekly_pullback,20240321
510880.SH,2024-03-21,2024-03-22,PASS,etf_weekly_pullback,20240321
512040.SH,2024-03-21,2024-03-22,PASS,etf_weekly_pullback,20240321
515100.SH,2024-03-21,2024-03-22,PASS,etf_weekly_pullback,20240321
515110.SH,2024-03-21,2024-03-22,PASS,etf_weekly_pullback,20240321
515150.SH,2024-03-21,2024-03-22,PASS,etf_weekly_pullback,20240321
515300.SH,2024-03-21,2024-03-22,PASS,etf_weekly_pullback,20240321
515450.SH,2024-03-21,2024-03-22,PASS,etf_weekly_pullback,20240321
516570.SH,2024-03-21,2024-03-22,PASS,etf_weekly_pullback,20240321
560880.SH,2024-03-21,2024-03-22,PASS,etf_weekly_pullback,20240321
561120.SH,2024-03-21,2024-03-22,PASS,etf_weekly_pullback,20240321
561560.SH,2024-03-21,2024-03-22,PASS,etf_weekly_pullback,20240321
561700.SH,2024-03-21,2024-03-22,PASS,etf_weekly_pullback,20240321
562350.SH,2024-03-21,2024-03-22,PASS,etf_weekly_pullback,20240321
159731.SZ,2024-03-21,2024-03-22,PASS,etf_weekly_pullback,20240321
161724.SZ,2024-03-21,2024-03-22,PASS,etf_weekly_pullback,20240321
508000.SH,2024-03-21,2024-03-22,PASS,etf_weekly_pullback,20240321
508056.SH,2024-03-21,2024-03-22,PASS,etf_weekly_pullback,20240321
508058.SH,2024-03-21,2024-03-22,PASS,etf_weekly_pullback,20240321
180101.SZ,2024-03-21,2024-03-22,PASS,etf_weekly_pullback,20240321
510010.SH,2024-03-21,2024-03-22,PASS,etf_weekly_pullback,20240321
