code,select_time,trade_time,behave,strategy_name,date
159616.SZ,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
159712.SZ,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
159726.SZ,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
159730.SZ,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
159745.SZ,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
159788.SZ,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
159798.SZ,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
159825.SZ,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
159827.SZ,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
159887.SZ,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
159920.SZ,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
159931.SZ,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
159940.SZ,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
159954.SZ,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
159960.SZ,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
159966.SZ,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
159985.SZ,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
159996.SZ,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
160716.SZ,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
160717.SZ,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
160924.SZ,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
161005.SZ,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
162607.SZ,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
167301.SZ,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
180501.SZ,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
501025.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
501050.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
508018.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
510230.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
510650.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
510900.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
512640.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
512700.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
512730.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
512750.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
512800.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
513550.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
513600.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
513660.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
513690.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
513900.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
513990.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
515020.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
515100.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
515290.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
516210.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
516310.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
516550.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
516910.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
517000.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
517080.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
517100.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
517350.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
517360.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
517550.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
517900.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
560880.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
561120.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
561320.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
159662.SZ,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
159711.SZ,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
159723.SZ,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
159793.SZ,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
501302.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
508058.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
512820.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
517010.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
517880.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
164705.SZ,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
180101.SZ,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
159976.SZ,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
161121.SZ,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
160644.SZ,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
517170.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
501301.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
508077.SH,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
165521.SZ,2024-05-30,2024-05-31,PASS,etf_weekly_pullback,20240530
