code,select_time,trade_time,behave,strategy_name,date
159633.SZ,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
159638.SZ,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
159681.SZ,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
159682.SZ,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
159730.SZ,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
159755.SZ,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
159757.SZ,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
159761.SZ,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
159763.SZ,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
159767.SZ,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
159775.SZ,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
159798.SZ,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
159808.SZ,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
159810.SZ,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
159814.SZ,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
159840.SZ,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
159843.SZ,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
159870.SZ,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
159886.SZ,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
159908.SZ,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
159915.SZ,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
159944.SZ,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
159949.SZ,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
159956.SZ,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
159957.SZ,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
159958.SZ,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
159964.SZ,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
159966.SZ,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
159971.SZ,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
159977.SZ,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
159991.SZ,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
159996.SZ,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
160223.SZ,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
160225.SZ,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
160630.SZ,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
160643.SZ,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
161024.SZ,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
164206.SZ,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
501019.SH,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
501058.SH,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
501207.SH,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
501208.SH,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
501219.SH,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
508099.SH,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
510150.SH,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
510630.SH,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
512560.SH,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
512660.SH,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
512670.SH,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
512680.SH,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
512710.SH,2024-05-23,2024-05-24,PASS,etf_weekly_pullback,20240523
