code,select_time,trade_time,behave,strategy_name,date
159638.SZ,2024-04-02,2024-04-03,PASS,etf_weekly_pullback,20240402
159811.SZ,2024-04-02,2024-04-03,PASS,etf_weekly_pullback,20240402
161024.SZ,2024-04-02,2024-04-03,PASS,etf_weekly_pullback,20240402
163402.SZ,2024-04-02,2024-04-03,PASS,etf_weekly_pullback,20240402
163412.SZ,2024-04-02,2024-04-03,PASS,etf_weekly_pullback,20240402
164824.SZ,2024-04-02,2024-04-03,PASS,etf_weekly_pullback,20240402
508009.SH,2024-04-02,2024-04-03,PASS,etf_weekly_pullback,20240402
512560.SH,2024-04-02,2024-04-03,PASS,etf_weekly_pullback,20240402
512660.SH,2024-04-02,2024-04-03,PASS,etf_weekly_pullback,20240402
512680.SH,2024-04-02,2024-04-03,PASS,etf_weekly_pullback,20240402
512710.SH,2024-04-02,2024-04-03,PASS,etf_weekly_pullback,20240402
512810.SH,2024-04-02,2024-04-03,PASS,etf_weekly_pullback,20240402
513000.SH,2024-04-02,2024-04-03,PASS,etf_weekly_pullback,20240402
513800.SH,2024-04-02,2024-04-03,PASS,etf_weekly_pullback,20240402
513880.SH,2024-04-02,2024-04-03,PASS,etf_weekly_pullback,20240402
502003.SH,2024-04-02,2024-04-03,PASS,etf_weekly_pullback,20240402
588460.SH,2024-04-02,2024-04-03,PASS,etf_weekly_pullback,20240402
159687.SZ,2024-04-02,2024-04-03,PASS,etf_weekly_pullback,20240402
