code,select_time,trade_time,behave,strategy_name,date
159628.SZ,2024-12-26,2024-12-27,PASS,etf_weekly_pullback,20241226
159629.SZ,2024-12-26,2024-12-27,PASS,etf_weekly_pullback,20241226
159633.SZ,2024-12-26,2024-12-27,PASS,etf_weekly_pullback,20241226
159663.SZ,2024-12-26,2024-12-27,PASS,etf_weekly_pullback,20241226
159680.SZ,2024-12-26,2024-12-27,PASS,etf_weekly_pullback,20241226
159729.SZ,2024-12-26,2024-12-27,PASS,etf_weekly_pullback,20241226
159736.SZ,2024-12-26,2024-12-27,PASS,etf_weekly_pullback,20241226
159743.SZ,2024-12-26,2024-12-27,PASS,etf_weekly_pullback,20241226
159758.SZ,2024-12-26,2024-12-27,PASS,etf_weekly_pullback,20241226
159770.SZ,2024-12-26,2024-12-27,PASS,etf_weekly_pullback,20241226
159792.SZ,2024-12-26,2024-12-27,PASS,etf_weekly_pullback,20241226
159804.SZ,2024-12-26,2024-12-27,PASS,etf_weekly_pullback,20241226
159820.SZ,2024-12-26,2024-12-27,PASS,etf_weekly_pullback,20241226
159836.SZ,2024-12-26,2024-12-27,PASS,etf_weekly_pullback,20241226
159841.SZ,2024-12-26,2024-12-27,PASS,etf_weekly_pullback,20241226
159843.SZ,2024-12-26,2024-12-27,PASS,etf_weekly_pullback,20241226
159845.SZ,2024-12-26,2024-12-27,PASS,etf_weekly_pullback,20241226
159848.SZ,2024-12-26,2024-12-27,PASS,etf_weekly_pullback,20241226
159851.SZ,2024-12-26,2024-12-27,PASS,etf_weekly_pullback,20241226
159856.SZ,2024-12-26,2024-12-27,PASS,etf_weekly_pullback,20241226
159872.SZ,2024-12-26,2024-12-27,PASS,etf_weekly_pullback,20241226
159899.SZ,2024-12-26,2024-12-27,PASS,etf_weekly_pullback,20241226
159935.SZ,2024-12-26,2024-12-27,PASS,etf_weekly_pullback,20241226
159943.SZ,2024-12-26,2024-12-27,PASS,etf_weekly_pullback,20241226
159966.SZ,2024-12-26,2024-12-27,PASS,etf_weekly_pullback,20241226
159968.SZ,2024-12-26,2024-12-27,PASS,etf_weekly_pullback,20241226
159982.SZ,2024-12-26,2024-12-27,PASS,etf_weekly_pullback,20241226
160119.SZ,2024-12-26,2024-12-27,PASS,etf_weekly_pullback,20241226
161720.SZ,2024-12-26,2024-12-27,PASS,etf_weekly_pullback,20241226
163109.SZ,2024-12-26,2024-12-27,PASS,etf_weekly_pullback,20241226
163415.SZ,2024-12-26,2024-12-27,PASS,etf_weekly_pullback,20241226
164206.SZ,2024-12-26,2024-12-27,PASS,etf_weekly_pullback,20241226
164403.SZ,2024-12-26,2024-12-27,PASS,etf_weekly_pullback,20241226
501012.SH,2024-12-26,2024-12-27,PASS,etf_weekly_pullback,20241226
501219.SH,2024-12-26,2024-12-27,PASS,etf_weekly_pullback,20241226
508008.SH,2024-12-26,2024-12-27,PASS,etf_weekly_pullback,20241226
510500.SH,2024-12-26,2024-12-27,PASS,etf_weekly_pullback,20241226
510510.SH,2024-12-26,2024-12-27,PASS,etf_weekly_pullback,20241226
