code,select_time,trade_time,behave,strategy_name,date
159001.SZ,2025-11-06,2025-11-07,SKIP_WEEKLY_GAIN_TOO_LOW,etf_weekly_pullback,20251106
159003.SZ,2025-11-06,2025-11-07,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20251106
159005.SZ,2025-11-06,2025-11-07,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20251106
159601.SZ,2025-11-06,2025-11-07,SKIP_PULLBACK_3W_NOT_ALL_DOWN,etf_weekly_pullback,20251106
159602.SZ,2025-11-06,2025-11-07,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20251106
159603.SZ,2025-11-06,2025-11-07,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20251106
159605.SZ,2025-11-06,2025-11-07,SKIP_RECENT_8W_NOT_POSITIVE,etf_weekly_pullback,20251106
159606.SZ,2025-11-06,2025-11-07,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20251106
159607.SZ,2025-11-06,2025-11-07,SKIP_RECENT_8W_NOT_POSITIVE,etf_weekly_pullback,20251106
159608.SZ,2025-11-06,2025-11-07,SKIP_PULLBACK_3W_NOT_ALL_DOWN,etf_weekly_pullback,20251106
159609.SZ,2025-11-06,2025-11-07,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20251106
159610.SZ,2025-11-06,2025-11-07,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20251106
159611.SZ,2025-11-06,2025-11-07,SKIP_PULLBACK_3W_NOT_ALL_DOWN,etf_weekly_pullback,20251106
159613.SZ,2025-11-06,2025-11-07,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20251106
159615.SZ,2025-11-06,2025-11-07,SKIP_RECENT_8W_NOT_POSITIVE,etf_weekly_pullback,20251106
159616.SZ,2025-11-06,2025-11-07,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20251106
159618.SZ,2025-11-06,2025-11-07,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20251106
159619.SZ,2025-11-06,2025-11-07,SKIP_LOW_LIQUIDITY,etf_weekly_pullback,20251106
159623.SZ,2025-11-06,2025-11-07,SKIP_RECENT_8W_NOT_POSITIVE,etf_weekly_pullback,20251106
