code,select_time,trade_time,behave,strategy_name,date
159812.SZ,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
159830.SZ,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
159831.SZ,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
159834.SZ,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
159871.SZ,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
159876.SZ,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
159880.SZ,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
159881.SZ,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
159934.SZ,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
159937.SZ,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
159974.SZ,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
160716.SZ,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
160719.SZ,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
161129.SZ,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
161226.SZ,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
164701.SZ,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
165513.SZ,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
510060.SH,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
510170.SH,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
510410.SH,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
512400.SH,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
512890.SH,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
515300.SH,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
515450.SH,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
515600.SH,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
515680.SH,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
515900.SH,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
516650.SH,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
517090.SH,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
517180.SH,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
518600.SH,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
518660.SH,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
518680.SH,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
518800.SH,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
518850.SH,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
518860.SH,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
518880.SH,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
518890.SH,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
561330.SH,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
159719.SZ,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
501059.SH,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
165520.SZ,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
161706.SZ,2024-04-29,2024-04-30,PASS,etf_weekly_pullback,20240429
