datetime,limit_up_count,limit_down_count,limit_up_ratio,limit_down_ratio,avg_pct_change
2014-01-02,0,0,0.0,0.0,
2014-01-03,13,0,0.006007393715341959,0.0,-0.005609606809003151
2014-01-06,6,6,0.0027649769585253456,0.0027649769585253456,-0.02940155272861046
2014-01-07,10,3,0.004597701149425287,0.001379310344827586,0.007097706508461027
2014-01-08,10,0,0.004597701149425287,0.0,0.003988302952548425
2014-01-09,8,2,0.0036730945821854912,0.0009182736455463728,-0.01646058601214203
2014-01-10,11,9,0.005048187241854061,0.004130335016062414,-0.016806768743471943
2014-01-13,7,10,0.0032080659945004585,0.00458295142071494,-0.001623103735659005
2014-01-14,23,4,0.010531135531135532,0.0018315018315018315,0.021238286067035123
2014-01-15,11,0,0.005034324942791762,0.0,0.007192407157990723
2014-01-16,14,1,0.006392694063926941,0.00045662100456621003,0.0016551779288915475
2014-01-17,7,4,0.0031934306569343066,0.0018248175182481751,-0.010637759147187521
2014-01-20,13,9,0.00592255125284738,0.004100227790432802,-0.006791961086927268
2014-01-21,25,0,0.011343012704174229,0.0,0.015555890379263271
2014-01-22,32,1,0.014486192847442281,0.0004526935264825713,0.023183778336281248
2014-01-23,27,0,0.012173128944995492,0.0,0.0064172286766859925
2014-01-24,42,0,0.018935978358881875,0.0,0.013627195514190489
2014-01-27,16,0,0.00718132854578097,0.0,-0.0037385354825210126
2014-01-28,13,4,0.005803571428571429,0.0017857142857142857,-0.001694853395517322
2014-01-29,25,3,0.011130899376669634,0.0013357079252003562,0.009250218034657831
2014-01-30,15,8,0.006678539626001781,0.003561887800534283,-0.005902923645374768
2014-02-07,47,1,0.020926090828138913,0.0004452359750667854,0.018502087581082457
2014-02-10,62,0,0.027592345349354695,0.0,0.028786112769241846
2014-02-11,46,1,0.020462633451957295,0.00044483985765124553,0.004340444527975104
2014-02-12,44,0,0.019572953736654804,0.0,0.014017301483400156
2014-02-13,17,5,0.00755891507336594,0.0022232103156958646,-0.01596337246518129
2014-02-14,40,1,0.017777777777777778,0.00044444444444444447,0.019771246704641584
2014-02-17,49,0,0.021777777777777778,0.0,0.020452157999765252
2014-02-18,34,0,0.015104398045313194,0.0,-0.0004697724305100564
2014-02-19,32,1,0.01419698314108252,0.00044365572315882877,0.0016033173535180269
2014-02-20,28,8,0.012416851441241685,0.003547671840354767,-0.013532490596577318
2014-02-21,13,3,0.00576241134751773,0.0013297872340425532,-0.004620568997852712
2014-02-24,31,12,0.013735046521931768,0.005316792202038104,0.0010437098306232632
2014-02-25,18,50,0.007964601769911504,0.022123893805309734,-0.03799335247861415
2014-02-26,38,1,0.016799292661361626,0.0004420866489832007,0.0067167404479203646
2014-02-27,26,12,0.011494252873563218,0.005305039787798408,-0.01280324013517917
2014-02-28,30,6,0.013256738842244807,0.0026513477684489617,0.011514657588359118
2014-03-03,49,0,0.02163355408388521,0.0,0.021014309663020946
2014-03-04,19,2,0.008388520971302429,0.0008830022075055188,-0.0007248650303281221
2014-03-05,19,4,0.008384819064430714,0.00176522506619594,-0.0023094458706736805
2014-03-06,20,2,0.0088261253309797,0.00088261253309797,0.0023574086439153907
2014-03-07,19,3,0.008384819064430714,0.001323918799646955,-0.003093467842379372
2014-03-10,7,46,0.0030823425803610744,0.02025539409951563,-0.036436585899943766
2014-03-11,17,4,0.007485689123734038,0.0017613386173491853,0.0009718798788799065
2014-03-12,19,12,0.00836635843240863,0.005284015852047556,-0.0010003883296897979
2014-03-13,22,3,0.009687362395420519,0.001321003963011889,0.012274006873398764
2014-03-14,7,5,0.0030809859154929575,0.0022007042253521128,-0.003135669828578886
2014-03-17,29,0,0.012758468983721953,0.0,0.020587529972235768
2014-03-18,24,0,0.01054481546572935,0.0,0.004996793221685117
2014-03-19,25,1,0.010979358805445762,0.0004391743522178305,0.0010990056977925218
2014-03-20,16,19,0.007020623080298377,0.008336989907854322,-0.024898383702909213
2014-03-21,28,2,0.012280701754385965,0.0008771929824561404,0.019017844752044297
2014-03-24,36,1,0.01578255151249452,0.00043840420868040335,0.005615158465205178
2014-03-25,24,4,0.010512483574244415,0.0017520805957074025,0.000639893739735875
2014-03-26,15,1,0.006570302233902759,0.0004380201489268506,0.0034083770552294783
2014-03-27,11,12,0.004818221638195357,0.005256241787122208,-0.01781799016147832
2014-03-28,8,36,0.003504161191414805,0.01576872536136662,-0.02091877644112596
2014-03-31,4,28,0.0017520805957074025,0.012264564169951819,-0.007606483955762626
2014-04-01,17,2,0.007446342531756461,0.0008760402978537013,0.01587629794215935
2014-04-02,18,3,0.00788436268068331,0.001314060446780552,-0.0015288132685704712
2014-04-03,10,7,0.0043782837127845885,0.003064798598949212,-0.0009358705360065598
2014-04-04,18,3,0.00787746170678337,0.001312910284463895,0.010667765970578483
2014-04-08,17,2,0.0074365704286964126,0.0008748906386701663,0.010156508741457727
2014-04-09,19,1,0.008311461067366578,0.0004374453193350831,0.009668911007795666
2014-04-10,20,5,0.008748906386701663,0.0021872265966754157,0.0031378822819326537
2014-04-11,12,2,0.005249343832020997,0.0008748906386701663,-0.004346078507941168
2014-04-14,19,3,0.008307826847398338,0.0013117621337997377,0.007223090958369622
2014-04-15,12,2,0.005247048535198951,0.0008745080891998251,-0.006707937483569844
2014-04-16,9,5,0.003935286401399213,0.0021862702229995625,0.000641953967031766
2014-04-17,8,3,0.0034965034965034965,0.0013111888111888112,4.026881589439971e-05
2014-04-18,8,2,0.0034934497816593887,0.0008733624454148472,0.0030793220138498993
2014-04-21,8,11,0.0034934497816593887,0.00480349344978166,-0.015937595272996083
2014-04-22,6,12,0.0026200873362445414,0.005240174672489083,-0.007706420353056653
2014-04-23,10,5,0.004366812227074236,0.002183406113537118,-0.003156873523468151
2014-04-24,9,14,0.003930131004366812,0.00611353711790393,-0.009596256600752468
2014-04-25,3,23,0.0013100436681222707,0.010043668122270743,-0.020565212259056546
2014-04-28,4,78,0.0017467248908296944,0.03406113537117904,-0.03318813997515317
2014-04-29,21,10,0.009170305676855894,0.004366812227074236,0.012813593643004434
2014-04-30,16,13,0.006983849847228284,0.005674378000872981,0.007198369739549657
2014-05-05,14,3,0.006110868616324749,0.0013094718463553033,0.010290540471201082
2014-05-06,14,1,0.006108202443280977,0.0004363001745200698,0.0067612358228679205
2014-05-07,9,13,0.003926701570680628,0.005671902268760907,-0.016060705571036032
2014-05-08,18,6,0.007853403141361256,0.002617801047120419,0.0003900499670423889
2014-05-09,9,6,0.003926701570680628,0.002617801047120419,-0.008644160299427764
2014-05-12,49,4,0.02137870855148342,0.0017452006980802793,0.02349473596507287
2014-05-13,9,16,0.0039249890972525075,0.006977758395115569,-0.0034439158147083464
2014-05-14,12,9,0.005233318796336677,0.0039249890972525075,-0.0008044457169010005
2014-05-15,2,13,0.0008722197993894462,0.0056694286960314,-0.019515711320005482
2014-05-16,4,15,0.0017444395987788923,0.0065416484954208464,-0.004086638546494713
2014-05-19,2,10,0.0008707009142359599,0.0043535045711798,-0.0054056308144252
2014-05-20,11,11,0.00478885502829778,0.00478885502829778,0.002808295025380067
2014-05-21,14,11,0.0060949063996517195,0.00478885502829778,0.00797059827295595
2014-05-22,12,10,0.00522420548541576,0.0043535045711798,-0.002363927779466709
2014-05-23,13,16,0.0056595559425337396,0.006965607313887679,0.00699868670865798
2014-05-26,9,4,0.00391815411406182,0.0017414018284719198,0.010517255380389088
2014-05-27,10,11,0.0043535045711798,0.00478885502829778,-0.0052367025432437
2014-05-28,14,14,0.0060949063996517195,0.0060949063996517195,0.009204614972223213
2014-05-29,7,7,0.0030474531998258597,0.0030474531998258597,-0.011818927230367161
2014-05-30,11,12,0.00478885502829778,0.00522420548541576,0.0012588797767050474
2014-06-03,15,4,0.006530256856769699,0.0017414018284719198,-0.001445000245180652
2014-06-04,5,9,0.0021767522855899,0.00391815411406182,-0.008096842589688805
2014-06-05,15,2,0.006530256856769699,0.0008707009142359599,0.011489651153737566
2014-06-06,2,4,0.0008707009142359599,0.0017414018284719198,-0.0030590979873712796
2014-06-09,7,9,0.0030474531998258597,0.00391815411406182,-0.006001762829304928
2014-06-10,9,5,0.00391815411406182,0.0021767522855899,0.011071134596323563
2014-06-11,9,8,0.00391815411406182,0.0034828036569438396,0.004288176879315093
2014-06-12,14,14,0.0060949063996517195,0.0060949063996517195,-0.0031318154052622
2014-06-13,19,3,0.00827165868524162,0.00130605137135394,0.010035086242002196
2014-06-16,16,9,0.006965607313887679,0.00391815411406182,0.004962034231490904
2014-06-17,8,11,0.0034828036569438396,0.00478885502829778,-0.010550128117535
2014-06-18,13,5,0.0056595559425337396,0.0021767522855899,-0.007554378321040588
2014-06-19,3,37,0.00130605137135394,0.01610796691336526,-0.02805834798080345
2014-06-20,13,5,0.0056595559425337396,0.0021767522855899,0.009870964137417301
2014-06-23,22,5,0.00957771005659556,0.0021767522855899,0.009681386008173405
2014-06-24,19,5,0.00827165868524162,0.0021767522855899,0.006979036622328739
2014-06-25,11,5,0.00478885502829778,0.0021767522855899,-0.003771474857880511
2014-06-26,21,1,0.009130434782608696,0.0004347826086956522,0.01467538361835465
2014-06-27,36,7,0.01564537157757497,0.003042155584528466,0.006764667677938524
2014-06-30,26,3,0.011294526498696786,0.0013032145960034753,0.00910487805498442
2014-07-01,24,3,0.010416666666666666,0.0013020833333333333,0.005424102163271609
2014-07-02,32,3,0.013870827915041179,0.0013003901170351106,0.005861989877797521
2014-07-03,31,3,0.013431542461005199,0.0012998266897746968,0.006284573814424252
2014-07-04,20,8,0.008665511265164644,0.0034662045060658577,-0.0014463531101069412
2014-07-07,15,3,0.006499133448873483,0.0012998266897746968,0.00033822023614177104
2014-07-08,19,2,0.008232235701906412,0.0008665511265164644,0.0070479770656641585
2014-07-09,15,14,0.006499133448873483,0.006065857885615251,-0.015320531860095066
2014-07-10,31,4,0.013431542461005199,0.0017331022530329288,0.0025505252676740154
2014-07-11,26,2,0.011265164644714038,0.0008665511265164644,0.008273158028694038
2014-07-14,35,5,0.015164644714038129,0.002166377816291161,0.01243206649997829
2014-07-15,23,7,0.00996533795493934,0.0030329289428076256,-0.0029295259837837937
2014-07-16,19,9,0.008232235701906412,0.00389948006932409,-0.0092019537202924
2014-07-17,6,7,0.0025996533795493936,0.0030329289428076256,-0.004301867084049065
2014-07-18,14,2,0.006063230835859679,0.0008661758336942399,0.0009815198302146103
2014-07-21,15,1,0.0064963187527068,0.00043308791684711995,-0.0030963206190554736
2014-07-22,31,1,0.013425725422260719,0.00043308791684711995,0.012515545474702855
2014-07-23,19,0,0.00822867042009528,0.0,-0.009406068732366105
2014-07-24,19,5,0.00822867042009528,0.0021654395842356,-0.0020474495573284614
2014-07-25,19,2,0.00822867042009528,0.0008661758336942399,0.009389916027926293
2014-07-28,27,3,0.01169337375487224,0.00129926375054136,0.017348237127753057
2014-07-29,38,2,0.01645734084019056,0.0008661758336942399,0.010316859745177097
2014-07-30,37,1,0.01602425292334344,0.00043308791684711995,0.004971005235677811
2014-07-31,21,2,0.009083044982698962,0.0008650519031141869,0.007959566753118512
2014-08-01,22,1,0.009495036685369012,0.00043159257660768235,-0.01005391719079122
2014-08-04,35,1,0.015105740181268883,0.00043159257660768235,0.01585296100963874
2014-08-05,25,1,0.010785159620362382,0.0004314063848144953,0.007761226725411789
2014-08-06,19,0,0.008193186718413108,0.0,0.004296858906106094
2014-08-07,13,2,0.00560586459680897,0.0008624407072013799,-0.008536828208254311
2014-08-08,14,1,0.00603448275862069,0.0004310344827586207,0.00783498053042786
2014-08-11,26,2,0.011206896551724138,0.0008620689655172414,0.014709088660803742
2014-08-12,19,1,0.008189655172413794,0.0004310344827586207,0.005057977245437101
2014-08-13,22,3,0.009482758620689655,0.001293103448275862,0.001390947309471924
2014-08-14,22,3,0.009482758620689655,0.001293103448275862,-0.004264826481203692
2014-08-15,24,2,0.010344827586206896,0.0008620689655172414,0.010721213925804447
2014-08-18,34,1,0.014655172413793103,0.0004310344827586207,0.015004996684170234
2014-08-19,37,1,0.015948275862068966,0.0004310344827586207,0.004790438486493379
2014-08-20,33,1,0.014224137931034483,0.0004310344827586207,0.0007399673179760602
2014-08-21,26,1,0.011206896551724138,0.0004310344827586207,0.0007437412489467584
2014-08-22,27,0,0.011632916846186989,0.0,0.007681931330027279
2014-08-25,23,2,0.009905254091300603,0.0008613264427217916,-0.0056088827437801095
2014-08-26,20,7,0.008613264427217916,0.0030146425495262705,-0.018870654615962486
2014-08-27,34,2,0.014642549526270457,0.0008613264427217916,0.005262829548987294
2014-08-28,13,7,0.005598621877691645,0.0030146425495262705,-0.007286620267451586
2014-08-29,11,1,0.004737295434969853,0.0004306632213608958,0.011099190526368393
2014-09-01,24,1,0.0103359173126615,0.0004306632213608958,0.01740871545611968
2014-09-02,33,1,0.014211886304909561,0.0004306632213608958,0.015111506955957962
2014-09-03,25,1,0.010766580534022395,0.0004306632213608958,0.007934403108345416
2014-09-04,26,0,0.01119724375538329,0.0,0.009459032970150986
2014-09-05,27,0,0.01162290142057684,0.0,0.005266709750856575
2014-09-09,25,0,0.010757314974182444,0.0,0.007264030305086333
2014-09-10,33,3,0.014181349376880103,0.001289213579716373,0.006531822704274761
2014-09-11,26,1,0.0111731843575419,0.0004297378599054577,-0.00041059019781987713
2014-09-12,34,2,0.014598540145985401,0.0008587376556462001,0.012460474800734467
2014-09-15,36,3,0.015457277801631602,0.0012881064834693002,0.011216975588767815
2014-09-16,16,30,0.006869901245169601,0.012881064834693002,-0.03174431589479637
2014-09-17,29,1,0.0124516960068699,0.00042936882782310007,0.008774223311748633
2014-09-18,25,0,0.010734220695577501,0.0,0.007930580107150255
2014-09-19,34,4,0.014598540145985401,0.0017174753112924003,0.009753696097414912
2014-09-22,20,5,0.008587376556462,0.0021468441391155,-0.011941120123636025
2014-09-23,29,1,0.0124516960068699,0.00042936882782310007,0.013847723145512783
2014-09-24,28,0,0.012022327179046801,0.0,0.014080123926676385
2014-09-25,22,4,0.009446114212108201,0.0017174753112924003,7.992349922441863e-05
2014-09-26,15,5,0.006437768240343348,0.002145922746781116,0.004563760629117962
2014-09-29,26,3,0.011154011154011155,0.001287001287001287,0.011385572513184316
2014-09-30,25,2,0.010715816545220747,0.0008572653236176596,0.006759457228192216
2014-10-08,46,1,0.019717102443206173,0.0004286326618088298,0.013700044432952946
2014-10-09,29,4,0.01240376390076989,0.001710863986313088,0.002287761113306315
2014-10-10,22,3,0.009393680614859094,0.0012809564474807857,-0.004443173806863857
2014-10-13,24,1,0.010243277848911651,0.0004268032437046522,0.0013151899408661693
2014-10-14,25,1,0.010670081092616303,0.0004268032437046522,-0.001725017431871346
2014-10-15,30,1,0.012798634812286689,0.0004266211604095563,0.004959456483170634
2014-10-16,22,4,0.00938566552901024,0.0017064846416382253,-0.013016052192302171
2014-10-17,26,4,0.011092150170648464,0.0017064846416382253,-0.010541292436773396
2014-10-20,18,2,0.007679180887372013,0.0008532423208191126,0.014001435002433438
2014-10-21,11,4,0.00469283276450512,0.0017064846416382253,-0.0068378885211789605
2014-10-22,12,2,0.005119453924914676,0.0008532423208191126,-0.011491094099094495
2014-10-23,10,8,0.004266211604095563,0.0034129692832764505,-0.01689756393366622
2014-10-24,14,8,0.005972696245733789,0.0034129692832764505,0.002097759648563433
2014-10-27,10,7,0.004266211604095563,0.0029863481228668944,0.007029855937012992
2014-10-28,38,0,0.016211604095563138,0.0,0.0261584160984524
2014-10-29,38,2,0.016211604095563138,0.0008532423208191126,0.014194132759293036
2014-10-30,20,1,0.008521516829995739,0.00042607584149978694,0.0012121511898771466
2014-10-31,15,0,0.006388415672913117,0.0,0.0002742178576555939
2014-11-03,29,0,0.012350936967632026,0.0,0.011739122455083304
2014-11-04,30,1,0.012760527435133985,0.0004253509145044662,-0.003427121590628254
2014-11-05,23,1,0.00977891156462585,0.00042517006802721087,-0.0002430287340474345
2014-11-06,29,1,0.012324691882702932,0.00042498937526561835,0.009052189051578674
2014-11-07,18,0,0.0076465590484282074,0.0,-0.008163087823736393
2014-11-10,38,2,0.016142735768903994,0.0008496176720475786,0.009574536769672038
2014-11-11,18,34,0.007643312101910828,0.014437367303609342,-0.03029581840161459
2014-11-12,45,0,0.01910828025477707,0.0,0.017543638471989864
2014-11-13,26,9,0.011040339702760084,0.003821656050955414,-0.01266025170141797
2014-11-14,15,11,0.006369426751592357,0.004670912951167728,-0.003981065975504871
2014-11-17,21,0,0.008917197452229299,0.0,0.012075049741248072
2014-11-18,19,1,0.008067940552016985,0.0004246284501061571,0.004172671933980255
2014-11-19,21,0,0.008917197452229299,0.0,0.006525122571333958
2014-11-20,19,0,0.008067940552016985,0.0,-0.00032096637004802874
2014-11-21,25,1,0.010615711252653927,0.0004246284501061571,0.010641559810942428
2014-11-24,29,0,0.012314225053078557,0.0,0.011742904811231943
2014-11-25,39,1,0.016560509554140127,0.0004246284501061571,0.01398840827942911
2014-11-26,29,1,0.012314225053078557,0.0004246284501061571,0.006427071822165481
2014-11-27,37,1,0.015704584040747028,0.00042444821731748726,0.007732345051261168
2014-11-28,41,1,0.01740237691001698,0.00042444821731748726,0.0011074588937580422
2014-12-01,36,5,0.015280135823429542,0.0021222410865874364,-0.007806792857016601
2014-12-02,37,0,0.015704584040747028,0.0,0.012753481578642069
2014-12-03,37,3,0.015664690939881456,0.0012701100762066045,0.009487626424904394
2014-12-04,72,0,0.03046974185357596,0.0,0.015363991396548966
2014-12-05,47,24,0.019873150105708247,0.01014799154334038,-0.02580568188556307
2014-12-08,74,9,0.03128964059196617,0.0038054968287526427,0.0037152235065849026
2014-12-09,14,162,0.005917159763313609,0.06846999154691462,-0.04227377395735379
2014-12-10,95,1,0.04015215553677092,0.00042265426880811494,0.033241888265091425
2014-12-11,72,2,0.030418250950570342,0.0008449514152936206,0.01437024660562289
2014-12-12,41,4,0.01731418918918919,0.0016891891891891893,0.010949021807765332
2014-12-15,47,1,0.01984797297297297,0.0004222972972972973,0.015030247516234677
2014-12-16,45,2,0.01900337837837838,0.0008445945945945946,-0.0010893089442945724
2014-12-17,33,1,0.01393581081081081,0.0004222972972972973,-0.011813456949294471
2014-12-18,33,2,0.01393581081081081,0.0008445945945945946,-0.002066519280640835
2014-12-19,40,11,0.016891891891891893,0.0046452702702702705,-0.011003185761344856
2014-12-22,25,217,0.010557432432432432,0.09163851351351351,-0.04317006643400579
2014-12-23,14,41,0.0059121621621621625,0.01731418918918919,-0.01412759854510082
2014-12-24,39,1,0.016469594594594593,0.0004222972972972973,0.01833761358395643
2014-12-25,50,0,0.021114864864864864,0.0,0.014177514335670908
2014-12-26,34,2,0.014358108108108109,0.0008445945945945946,0.0056880108763576786
2014-12-29,20,18,0.008438818565400843,0.007594936708860759,-0.01613713527735484
2014-12-30,25,18,0.010530749789385004,0.007582139848357203,-0.01629692601239296
2014-12-31,32,4,0.013451029844472467,0.0016813787305590584,0.009804906968669922
2015-01-05,81,3,0.034047919293820936,0.0012610340479192938,0.012016098560976117
2015-01-06,31,0,0.013030685161832704,0.0,0.01700211249529061
2015-01-07,29,1,0.012189995796553174,0.0004203446826397646,-0.0009193493130346198
2015-01-08,31,2,0.013030685161832704,0.0008406893652795292,-0.0032944746418422867
2015-01-09,10,0,0.004203446826397646,0.0,-0.006918962570731092
2015-01-12,18,7,0.007566204287515763,0.0029424127784783522,-0.014327980962257266
2015-01-13,23,0,0.009667927700714587,0.0,0.015240211678666278
2015-01-14,19,2,0.007986548970155528,0.0008406893652795292,-0.004609803734274552
2015-01-15,15,1,0.006305170239596469,0.0004203446826397646,0.008610494040717316
2015-01-16,28,1,0.011769651113913409,0.0004203446826397646,0.012419650873604209
2015-01-19,13,152,0.00546448087431694,0.06389239176124423,-0.03022847311612636
2015-01-20,69,0,0.028991596638655463,0.0,0.0351953221714753
2015-01-21,43,0,0.018036912751677854,0.0,0.023462054481879897
2015-01-22,57,1,0.02385935537881959,0.0004185851820845542,0.0148248122733894
2015-01-23,23,3,0.009615384615384616,0.001254180602006689,-0.008215706964655201
2015-01-26,54,1,0.02254697286012526,0.0004175365344467641,0.01975553565059173
2015-01-27,48,1,0.020016680567139282,0.0004170141784820684,0.0056907982110155466
2015-01-28,26,1,0.010833333333333334,0.0004166666666666667,-0.0028554750559770235
2015-01-29,36,0,0.014993752603082049,0.0,-0.0046808852359022995
2015-01-30,26,9,0.010828821324448146,0.003748438150770512,-0.009924643134990856
2015-02-02,26,9,0.010828821324448146,0.003748438150770512,-0.003984949570681036
2015-02-03,45,1,0.018742190753852563,0.00041649312786339027,0.01734216004398899
2015-02-04,33,0,0.013744273219491879,0.0,-0.0016981822787819555
2015-02-05,37,1,0.015410245730945439,0.00041649312786339027,-0.0033444963319622465
2015-02-06,14,18,0.0058309037900874635,0.007496876301541024,-0.019519902736282044
2015-02-09,17,17,0.007080383173677634,0.007080383173677634,-0.006051088532298349
2015-02-10,16,2,0.006663890045814244,0.0008329862557267805,0.01133394017531194
2015-02-11,27,1,0.011245314452311536,0.00041649312786339027,0.011490691711420486
