code_key,code,select_time,Close,board_date,board_limit,board_close,Pattern,n_adjust,board_limit_to_select_close_adj_pct,avg_limit_to_close_adj_per,board_close_to_select_close_adj_pct,avg_close_to_close_adj_per,Vol_Ratio,symbol,sector_code_name,industry_name,strategy_name,date
601226,601226.SH,2025-01-15,7.14,2025-01-14,7.17,7.170000000000001,1板1调,1,-0.4184100418410076,-0.4184100418410076,-0.4184100418410076,-0.41841004184102004,0.87,华电科工,工业,专业技术服务业,n_pattern_rebound,20250115
002177,002177.SZ,2025-01-15,4.9,2025-01-14,4.81,4.8100000000000005,1板1调,1,1.8711018711018867,1.8711018711018867,1.8711018711018867,1.871101871101868,1.63,御银股份,信息技术,专用设备制造业,n_pattern_rebound,20250115
002209,002209.SZ,2025-01-15,9.8,2025-01-14,9.76,9.760000000000002,1板1调,1,0.40983606557377994,0.40983606557377994,0.40983606557377994,0.4098360655737617,4.04,达意隆,工业,专用设备制造业,n_pattern_rebound,20250115
002366,002366.SZ,2025-01-15,4.909999999999999,2025-01-14,4.92,4.92,1板1调,1,-0.20325203252033894,-0.20325203252033894,-0.20325203252033894,-0.20325203252033894,1.75,融发核电,工业,专用设备制造业,n_pattern_rebound,20250115
002526,002526.SZ,2025-01-15,3.98,2025-01-14,4.05,4.04,1板1调,1,-1.7283950617283912,-1.7283950617283912,-1.7283950617283912,-1.4851485148514865,1.03,山东矿机,工业,专用设备制造业,n_pattern_rebound,20250115
300521,300521.SZ,2025-01-15,19.57,2025-01-14,20.04,20.04,1板1调,1,-2.345309381237519,-2.345309381237519,-2.345309381237519,-2.345309381237519,2.66,爱司凯,工业,专用设备制造业,n_pattern_rebound,20250115
600545,600545.SH,2025-01-15,2.63,2025-01-14,2.5,2.5000000000000004,1板1调,1,5.199999999999996,5.199999999999996,5.199999999999996,5.199999999999977,1.64,卓郎智能,工业,专用设备制造业,n_pattern_rebound,20250115
600579,600579.SH,2025-01-15,8.56,2025-01-14,8.68,8.68,1板1调,1,-1.382488479262664,-1.382488479262664,-1.382488479262664,-1.382488479262664,0.91,克劳斯,工业,专用设备制造业,n_pattern_rebound,20250115
603280,603280.SH,2025-01-15,21.509999999999998,2025-01-14,22.0,22.0,1板1调,1,-2.2272727272727364,-2.2272727272727364,-2.2272727272727364,-2.2272727272727364,3.24,南方路机,工业,专用设备制造业,n_pattern_rebound,20250115
603308,603308.SH,2025-01-15,17.4,2025-01-14,17.35,17.35,1板1调,1,0.2881844380403294,0.2881844380403294,0.2881844380403294,0.2881844380403294,0.97,应流股份,工业,专用设备制造业,n_pattern_rebound,20250115
002901,002901.SZ,2025-01-15,35.019999999999996,2025-01-13,32.03,32.03,1板2调,2,9.334998438963456,4.667499219481728,9.334998438963456,4.667499219481728,3.08,大博医疗,医疗保健,专用设备制造业,n_pattern_rebound,20250115
300307,300307.SZ,2025-01-15,9.879999999999999,2025-01-13,8.57,8.57,1板2调,2,15.285880980163343,7.6429404900816715,15.285880980163343,7.6429404900816715,0.0,慈星股份,工业,专用设备制造业,n_pattern_rebound,20250115
002698,002698.SZ,2025-01-15,18.16,2025-01-10,17.47,17.47,1板3调,3,3.949627933600466,1.3165426445334887,3.949627933600466,1.3165426445334887,0.93,博实股份,工业,专用设备制造业,n_pattern_rebound,20250115
603283,603283.SH,2025-01-15,57.480000000000004,2025-01-10,62.73,62.730000000000004,1板3调,3,-8.369201339072204,-2.7897337796907347,-8.369201339072204,-2.7897337796907373,0.91,赛腾股份,工业,专用设备制造业,n_pattern_rebound,20250115
603666,603666.SH,2025-01-15,26.16,2025-01-10,25.78,25.78,1板3调,3,1.474010861132657,0.49133695371088565,1.474010861132657,0.49133695371088565,0.79,亿嘉和,工业,专用设备制造业,n_pattern_rebound,20250115
002306,002306.SZ,2025-01-15,2.8,2025-01-14,2.76,2.76,1板1调,1,1.449275362318842,1.449275362318842,1.449275362318842,1.449275362318842,0.98,中科云网,电信服务,互联网和相关服务,n_pattern_rebound,20250115
002354,002354.SZ,2025-01-15,6.55,2025-01-14,6.16,6.15,1板1调,1,6.331168831168826,6.331168831168826,6.331168831168826,6.5040650406503975,1.19,天娱数科,电信服务,互联网和相关服务,n_pattern_rebound,20250115
002530,002530.SZ,2025-01-15,9.77,2025-01-14,9.66,9.66,1板1调,1,1.1387163561076545,1.1387163561076545,1.1387163561076545,1.1387163561076545,1.14,金财互联,工业,互联网和相关服务,n_pattern_rebound,20250115
002605,002605.SZ,2025-01-15,28.34,2025-01-14,27.1,27.1,1板1调,1,4.5756457564575586,4.5756457564575586,4.5756457564575586,4.5756457564575586,4.53,姚记科技,非必须消费品,互联网和相关服务,n_pattern_rebound,20250115
