code_key,code,select_time,Close,board_date,board_limit,board_close,Pattern,n_adjust,board_limit_to_select_close_adj_pct,avg_limit_to_close_adj_per,board_close_to_select_close_adj_pct,avg_close_to_close_adj_per,Vol_Ratio,symbol,sector_code_name,industry_name,strategy_name,date
002949,002949.SZ,2025-01-02,17.169999999999998,2024-12-30,18.77,18.77,1板2调,2,-8.524240809802883,-4.262120404901442,-8.524240809802883,-4.262120404901442,0.78,华阳国际,工业,专业技术服务业,n_pattern_rebound,20250102
600629,600629.SH,2025-01-02,8.370000000000001,2024-12-30,8.97,8.97,1板2调,2,-6.688963210702337,-3.3444816053511683,-6.688963210702337,-3.3444816053511683,1.46,华建集团,工业,专业技术服务业,n_pattern_rebound,20250102
603126,603126.SH,2025-01-02,8.190000000000001,2024-12-30,8.18,8.18,1板2调,2,0.12224938875307537,0.06112469437653768,0.12224938875307537,0.06112469437653768,1.15,中材节能,工业,专业技术服务业,n_pattern_rebound,20250102
603153,603153.SH,2025-01-02,20.55,2024-12-30,20.35,20.35,1板2调,2,0.9828009828009793,0.49140049140048964,0.9828009828009793,0.49140049140048964,2.29,上海建科,信息技术,专业技术服务业,n_pattern_rebound,20250102
601226,601226.SH,2025-01-02,6.71,2024-12-27,6.71,6.71,1板3调,3,0.0,0.0,0.0,0.0,0.95,华电科工,工业,专业技术服务业,n_pattern_rebound,20250102
002931,002931.SZ,2025-01-02,17.35,2024-12-30,16.41,16.41,1板2调,2,5.728214503351622,2.864107251675811,5.728214503351622,2.864107251675811,2.9,锋龙股份,工业,专用设备制造业,n_pattern_rebound,20250102
601798,601798.SH,2025-01-02,7.26,2024-12-27,7.7,7.7,1板3调,3,-5.714285714285719,-1.9047619047619062,-5.714285714285719,-1.9047619047619062,0.83,蓝科高新,能源,专用设备制造业,n_pattern_rebound,20250102
600358,600358.SH,2025-01-02,3.64,2024-12-31,3.66,3.6500000000000004,1板1调,1,-0.5464480874316944,-0.5464480874316944,-0.5464480874316944,-0.27397260273973234,0.93,国旅联合,非必须消费品,互联网和相关服务,n_pattern_rebound,20250102
603535,603535.SH,2025-01-02,11.94,2024-12-27,11.58,11.58,1板3调,3,3.1088082901554355,1.0362694300518118,3.1088082901554355,1.0362694300518118,1.56,嘉诚国际,工业,仓储业,n_pattern_rebound,20250102
000713,000713.SZ,2025-01-02,6.93,2024-12-27,7.5,7.5,1板3调,3,-7.600000000000004,-2.5333333333333345,-7.600000000000004,-2.5333333333333345,0.67,丰乐种业,必需消费品,农、林、牧、渔服务业,n_pattern_rebound,20250102
000998,000998.SZ,2025-01-02,10.84,2024-12-27,11.55,11.55,1板3调,3,-6.1471861471861535,-2.049062049062051,-6.1471861471861535,-2.049062049062051,0.91,隆平高科,必需消费品,农业,n_pattern_rebound,20250102
002041,002041.SZ,2025-01-02,10.98,2024-12-27,10.79,10.79,1板3调,3,1.7608897126969538,0.5869632375656513,1.7608897126969538,0.5869632375656513,1.59,登海种业,必需消费品,农业,n_pattern_rebound,20250102
600354,600354.SH,2025-01-02,5.89,2024-12-27,6.25,6.25,1板3调,3,-5.760000000000005,-1.9200000000000017,-5.760000000000005,-1.9200000000000017,0.88,敦煌种业,必需消费品,农业,n_pattern_rebound,20250102
600371,600371.SH,2025-01-02,8.53,2024-12-27,9.02,9.02,1板3调,3,-5.43237250554324,-1.81079083518108,-5.43237250554324,-1.81079083518108,0.8,万向德农,必需消费品,农业,n_pattern_rebound,20250102
600506,600506.SH,2025-01-02,19.220000000000002,2024-12-27,19.88,19.88,1板3调,3,-3.3199195171025986,-1.1066398390341996,-3.3199195171025986,-1.1066398390341996,0.96,统一股份,必需消费品,农业,n_pattern_rebound,20250102
603057,603057.SH,2025-01-02,20.46,2024-12-30,21.11,21.11,1板2调,2,-3.079109426811931,-1.5395547134059655,-3.079109426811931,-1.5395547134059655,1.42,紫燕食品,必需消费品,农副食品加工业,n_pattern_rebound,20250102
002746,002746.SZ,2025-01-02,6.12,2024-12-27,6.67,6.67,1板3调,3,-8.245877061469264,-2.748625687156421,-8.245877061469264,-2.748625687156421,1.05,仙坛股份,必需消费品,农副食品加工业,n_pattern_rebound,20250102
002442,002442.SZ,2025-01-02,6.18,2024-12-31,6.01,6.01,1板1调,1,2.828618968386022,2.828618968386022,2.828618968386022,2.828618968386022,8.46,龙星化工,原材料,化学原料和化学制品制造业,n_pattern_rebound,20250102
600714,600714.SH,2025-01-02,9.24,2024-12-31,9.72,9.719999999999999,1板1调,1,-4.938271604938276,-4.938271604938276,-4.938271604938276,-4.938271604938258,2.55,金瑞矿业,原材料,化学原料和化学制品制造业,n_pattern_rebound,20250102
603630,603630.SH,2025-01-02,13.59,2024-12-31,13.78,13.780000000000001,1板1调,1,-1.3788098693759034,-1.3788098693759034,-1.3788098693759034,-1.3788098693759163,2.58,拉芳家化,必需消费品,化学原料和化学制品制造业,n_pattern_rebound,20250102
300067,300067.SZ,2025-01-02,6.15,2024-12-30,6.19,6.1899999999999995,1板2调,2,-0.6462035541195482,-0.3231017770597741,-0.6462035541195482,-0.32310177705976695,1.65,安诺其,原材料,化学原料和化学制品制造业,n_pattern_rebound,20250102
000553,000553.SZ,2025-01-02,6.65,2024-12-27,6.81,6.81,1板3调,3,-2.3494860499265675,-0.7831620166421892,-2.3494860499265675,-0.7831620166421892,1.1,安道麦A,原材料,化学原料和化学制品制造业,n_pattern_rebound,20250102
001217,001217.SZ,2025-01-02,13.26,2024-12-27,13.52,13.52,1板3调,3,-1.9230769230769214,-0.6410256410256404,-1.9230769230769214,-0.6410256410256404,1.08,华尔泰,原材料,化学原料和化学制品制造业,n_pattern_rebound,20250102
000952,000952.SZ,2025-01-02,5.93,2024-12-31,6.18,6.180000000000001,1板1调,1,-4.045307443365696,-4.045307443365696,-4.045307443365696,-4.04530744336571,2.89,广济药业,医疗保健,医药制造业,n_pattern_rebound,20250102
603229,603229.SH,2025-01-02,10.03,2024-12-30,9.94,9.940000000000001,1板2调,2,0.9054325955734392,0.4527162977867196,0.9054325955734392,0.45271629778671063,1.59,奥翔药业,医疗保健,医药制造业,n_pattern_rebound,20250102
002775,002775.SZ,2025-01-02,3.8,2024-12-31,3.85,3.85,1板1调,1,-1.2987012987013056,-1.2987012987013056,-1.2987012987013056,-1.2987012987013056,4.13,文科股份,工业,土木工程建筑业,n_pattern_rebound,20250102
002062,002062.SZ,2025-01-02,5.21,2024-12-27,5.07,5.07,1板3调,3,2.761341222879678,0.920447074293226,2.761341222879678,0.920447074293226,0.98,宏润建设,工业,土木工程建筑业,n_pattern_rebound,20250102
000665,000665.SZ,2025-01-02,4.430000000000001,2024-12-31,4.6,4.6,1板1调,1,-3.695652173913023,-3.695652173913023,-3.695652173913023,-3.695652173913023,1.8,湖北广电,电信服务,广播、电视、电影和影视录音制作业,n_pattern_rebound,20250102
002629,002629.SZ,2025-01-02,4.2700000000000005,2024-12-31,4.25,4.25,1板1调,1,0.4705882352941285,0.4705882352941285,0.4705882352941285,0.4705882352941285,2.09,仁智股份,能源,开采辅助活动,n_pattern_rebound,20250102
000558,000558.SZ,2025-01-02,3.5500000000000003,2024-12-31,3.41,3.41,1板1调,1,4.105571847507335,4.105571847507335,4.105571847507335,4.105571847507335,2.48,莱茵体育,房地产,房地产业,n_pattern_rebound,20250102
600246,600246.SH,2025-01-02,7.9399999999999995,2024-12-31,7.45,7.45,1板1调,1,6.577181208053682,6.577181208053682,6.577181208053682,6.577181208053682,2.37,万通发展,房地产,房地产业,n_pattern_rebound,20250102
600692,600692.SH,2025-01-02,9.14,2024-12-27,9.64,9.64,1板3调,3,-5.186721991701244,-1.7289073305670815,-5.186721991701244,-1.7289073305670815,1.14,亚通股份,房地产,房地产业,n_pattern_rebound,20250102
002416,002416.SZ,2025-01-02,17.1,2024-12-30,15.65,15.65,1板2调,2,9.265175718849846,4.632587859424923,9.265175718849846,4.632587859424923,2.08,爱施德,非必须消费品,批发业,n_pattern_rebound,20250102
002575,002575.SZ,2025-01-02,8.41,2024-12-30,8.2,8.2,1板2调,2,2.5609756097561083,1.2804878048780541,2.5609756097561083,1.2804878048780541,2.23,群兴玩具,非必须消费品,文教、工美、体育和娱乐用品制造业,n_pattern_rebound,20250102
605208,605208.SH,2025-01-02,7.390000000000001,2024-12-27,7.74,7.74,1板3调,3,-4.521963824289401,-1.5073212747631335,-4.521963824289401,-1.5073212747631335,0.91,永茂泰,非必须消费品,有色金属冶炼和压延加工业,n_pattern_rebound,20250102
002631,002631.SZ,2025-01-02,4.45,2024-12-27,4.75,4.75,1板3调,3,-6.315789473684206,-2.1052631578947354,-6.315789473684206,-2.1052631578947354,0.71,德尔未来,原材料,木材加工和木、竹、藤、棕、草制品业,n_pattern_rebound,20250102
