code_key,code,Close,Vol_Ratio,Pattern,select_time,symbol,sector_code_name,industry_name,strategy_name,date
603698,603698.SH,27.509999999999998,1.42,1板1调,2025-12-15,航天工程,工业,专业技术服务业,n_pattern_rebound,20251216
301468,301468.SZ,58.0,1.63,1板1调,2025-12-15,博盈特焊,工业,专用设备制造业,n_pattern_rebound,20251216
600855,600855.SH,20.869999999999997,1.25,1板1调,2025-12-15,航天长峰,工业,专用设备制造业,n_pattern_rebound,20251216
600184,600184.SH,20.12,0.74,1板3调,2025-12-15,光电股份,工业,专用设备制造业,n_pattern_rebound,20251216
603095,603095.SH,14.92,0.73,1板3调,2025-12-15,越剑智能,工业,专用设备制造业,n_pattern_rebound,20251216
300445,300445.SZ,27.8,3.59,1板1调,2025-12-15,康斯特,信息技术,仪器仪表制造业,n_pattern_rebound,20251216
000567,000567.SZ,6.56,0.52,1板3调,2025-12-15,海德股份,房地产,其他金融业,n_pattern_rebound,20251216
300189,300189.SZ,6.57,0.74,1板3调,2025-12-15,神农种业,必需消费品,农业,n_pattern_rebound,20251216
000505,000505.SZ,8.06,0.68,1板3调,2025-12-15,京粮控股,房地产,农副食品加工业,n_pattern_rebound,20251216
000510,000510.SZ,10.11,1.51,1板1调,2025-12-15,新金路,原材料,化学原料和化学制品制造业,n_pattern_rebound,20251216
002584,002584.SZ,9.43,2.39,1板1调,2025-12-15,西陇科学,原材料,化学原料和化学制品制造业,n_pattern_rebound,20251216
300285,300285.SZ,28.55,2.74,1板1调,2025-12-15,国瓷材料,原材料,化学原料和化学制品制造业,n_pattern_rebound,20251216
000936,000936.SZ,8.200000000000001,0.95,1板3调,2025-12-15,华西股份,原材料,化学纤维制造业,n_pattern_rebound,20251216
000534,000534.SZ,24.720000000000002,2.17,1板1调,2025-12-15,万泽股份,医疗保健,医药制造业,n_pattern_rebound,20251216
601611,601611.SH,12.81,1.94,1板1调,2025-12-15,中国核建,工业,土木工程建筑业,n_pattern_rebound,20251216
603610,603610.SH,19.96,1.66,1板1调,2025-12-15,麒盛科技,非必须消费品,家具制造业,n_pattern_rebound,20251216
601133,601133.SH,14.64,2.34,1板1调,2025-12-15,柏诚股份,工业,建筑安装业,n_pattern_rebound,20251216
603163,603163.SH,59.690000000000005,1.4,1板1调,2025-12-15,圣晖集成,非必须消费品,建筑安装业,n_pattern_rebound,20251216
603929,603929.SH,87.07000000000001,1.06,1板1调,2025-12-15,亚翔集成,工业,建筑安装业,n_pattern_rebound,20251216
002989,002989.SZ,27.25,3.74,1板1调,2025-12-15,中天精装,工业,建筑装饰和其他建筑业,n_pattern_rebound,20251216
002163,002163.SZ,16.05,0.74,1板3调,2025-12-15,海南发展,工业,建筑装饰和其他建筑业,n_pattern_rebound,20251216
000720,000720.SZ,3.65,2.71,1板1调,2025-12-15,新能泰山,公用事业,房地产业,n_pattern_rebound,20251216
000002,000002.SZ,4.87,0.66,1板3调,2025-12-15,万科A,房地产,房地产业,n_pattern_rebound,20251216
000838,000838.SZ,3.9,0.87,1板3调,2025-12-15,财信发展,房地产,房地产业,n_pattern_rebound,20251216
002285,002285.SZ,3.0700000000000003,0.53,1板3调,2025-12-15,世联行,房地产,房地产业,n_pattern_rebound,20251216
600730,600730.SH,15.91,0.0,1板1调,2025-12-15,中国高科,房地产,教育,n_pattern_rebound,20251216
002607,002607.SZ,2.52,0.65,1板3调,2025-12-15,中公教育,非必须消费品,教育,n_pattern_rebound,20251216
002862,002862.SZ,21.92,1.97,1板1调,2025-12-15,实丰文化,非必须消费品,文教、工美、体育和娱乐用品制造业,n_pattern_rebound,20251216
300963,300963.SZ,22.24,2.7,1板1调,2025-12-15,中洲特材,工业,有色金属冶炼和压延加工业,n_pattern_rebound,20251216
603408,603408.SH,13.780000000000001,1.79,1板1调,2025-12-15,建霖家居,非必须消费品,橡胶和塑料制品业,n_pattern_rebound,20251216
603992,603992.SH,35.7,2.84,1板1调,2025-12-15,松霖科技,非必须消费品,橡胶和塑料制品业,n_pattern_rebound,20251216
000859,000859.SZ,10.649999999999999,1.25,1板2调,2025-12-15,国风新材,原材料,橡胶和塑料制品业,n_pattern_rebound,20251216
002865,002865.SZ,40.77,3.82,1板1调,2025-12-15,钧达股份,非必须消费品,汽车制造业,n_pattern_rebound,20251216
301005,301005.SZ,101.7,1.08,1板1调,2025-12-15,超捷股份,非必须消费品,汽车制造业,n_pattern_rebound,20251216
000572,000572.SZ,9.67,1.12,1板3调,2025-12-15,海马汽车,非必须消费品,汽车制造业,n_pattern_rebound,20251216
001311,001311.SZ,30.86,0.91,1板3调,2025-12-15,多利科技,非必须消费品,汽车制造业,n_pattern_rebound,20251216
605090,605090.SH,38.2,2.82,1板1调,2025-12-15,九丰能源,公用事业,燃气生产和供应业,n_pattern_rebound,20251216
000546,000546.SZ,6.34,2.44,1板1调,2025-12-15,金圆股份,原材料,生态保护和环境治理业,n_pattern_rebound,20251216
605081,605081.SH,10.979999999999999,1.3,1板1调,2025-12-15,太和水,工业,生态保护和环境治理业,n_pattern_rebound,20251216
000035,000035.SZ,5.970000000000001,0.89,1板2调,2025-12-15,中国天楹,工业,生态保护和环境治理业,n_pattern_rebound,20251216
