code_key,code,select_time,Close,board_date,board_limit,board_close,Pattern,n_adjust,board_limit_to_select_close_adj_pct,avg_limit_to_close_adj_per,board_close_to_select_close_adj_pct,avg_close_to_close_adj_per,Vol_Ratio,symbol,sector_code_name,industry_name,strategy_name,date
603859,603859.SH,2025-01-10,30.820000000000004,2025-01-09,30.79,30.79,1板1调,1,0.09743423189348714,0.09743423189348714,0.09743423189348714,0.09743423189348714,2.16,能科科技,工业,专业技术服务业,n_pattern_rebound,20250110
600629,600629.SH,2025-01-10,8.25,2025-01-07,8.1,8.1,1板3调,3,1.8518518518518563,0.6172839506172855,1.8518518518518563,0.6172839506172855,0.93,华建集团,工业,专业技术服务业,n_pattern_rebound,20250110
603029,603029.SH,2025-01-10,17.790000000000003,2025-01-09,17.55,17.55,1板1调,1,1.3675213675213789,1.3675213675213789,1.3675213675213789,1.3675213675213789,3.35,天鹅股份,工业,专用设备制造业,n_pattern_rebound,20250110
002031,002031.SZ,2025-01-10,5.77,2025-01-08,5.35,5.35,1板2调,2,7.850467289719626,3.925233644859813,7.850467289719626,3.925233644859813,1.74,巨轮智能,工业,专用设备制造业,n_pattern_rebound,20250110
002611,002611.SZ,2025-01-10,10.84,2025-01-08,11.15,11.15,1板2调,2,-2.7802690582959686,-1.3901345291479843,-2.7802690582959686,-1.3901345291479843,1.31,东方精工,工业,专用设备制造业,n_pattern_rebound,20250110
002779,002779.SZ,2025-01-10,78.67999999999999,2025-01-08,71.59,71.59,1板2调,2,9.903617823718381,4.951808911859191,9.903617823718381,4.951808911859191,1.57,中坚科技,工业,专用设备制造业,n_pattern_rebound,20250110
002177,002177.SZ,2025-01-10,4.52,2025-01-07,4.41,4.41,1板3调,3,2.4943310657596243,0.8314436885865414,2.4943310657596243,0.8314436885865414,1.34,御银股份,信息技术,专用设备制造业,n_pattern_rebound,20250110
002366,002366.SZ,2025-01-10,4.41,2025-01-07,4.66,4.66,1板3调,3,-5.36480686695279,-1.7882689556509301,-5.36480686695279,-1.7882689556509301,0.94,融发核电,工业,专用设备制造业,n_pattern_rebound,20250110
600860,600860.SH,2025-01-10,10.02,2025-01-07,10.45,10.450000000000001,1板3调,3,-4.1148325358851645,-1.3716108452950548,-4.1148325358851645,-1.3716108452950604,0.82,京城股份,工业,专用设备制造业,n_pattern_rebound,20250110
603308,603308.SH,2025-01-10,15.98,2025-01-07,15.63,15.63,1板3调,3,2.239283429302621,0.7464278097675403,2.239283429302621,0.7464278097675403,0.55,应流股份,工业,专用设备制造业,n_pattern_rebound,20250110
603912,603912.SH,2025-01-10,7.82,2025-01-07,7.99,7.99,1板3调,3,-2.127659574468084,-0.7092198581560281,-2.127659574468084,-0.7092198581560281,0.93,佳力图,工业,专用设备制造业,n_pattern_rebound,20250110
