code_key,code,select_time,Close,board_date,board_limit,board_close,Pattern,n_adjust,board_limit_to_select_close_adj_pct,avg_limit_to_close_adj_per,board_close_to_select_close_adj_pct,avg_close_to_close_adj_per,Vol_Ratio,symbol,sector_code_name,industry_name,strategy_name,date
601226,601226.SH,2025-01-07,7.58,2025-01-06,7.48,7.48,1板1调,1,1.3368983957219203,1.3368983957219203,1.3368983957219203,1.3368983957219203,2.19,华电科工,工业,专业技术服务业,n_pattern_rebound,20250107
000852,000852.SZ,2025-01-07,7.73,2025-01-03,7.48,7.48,1板2调,2,3.3422459893048124,1.6711229946524062,3.3422459893048124,1.6711229946524062,1.25,石化机械,能源,专用设备制造业,n_pattern_rebound,20250107
301568,301568.SZ,2025-01-07,42.879999999999995,2025-01-03,40.32,40.32,1板2调,2,6.349206349206337,3.1746031746031687,6.349206349206337,3.1746031746031687,1.71,思泰克,信息技术,专用设备制造业,n_pattern_rebound,20250107
600071,600071.SH,2025-01-07,21.85,2025-01-03,22.07,22.07,1板2调,2,-0.9968282736746664,-0.4984141368373332,-0.9968282736746664,-0.4984141368373332,0.84,凤凰光学,信息技术,仪器仪表制造业,n_pattern_rebound,20250107
000702,000702.SZ,2025-01-07,7.16,2025-01-06,6.77,6.77,1板1调,1,5.760709010339743,5.760709010339743,5.760709010339743,5.760709010339743,3.14,正虹科技,必需消费品,农副食品加工业,n_pattern_rebound,20250107
001217,001217.SZ,2025-01-07,13.88,2025-01-06,13.77,13.77,1板1调,1,0.7988380537400234,0.7988380537400234,0.7988380537400234,0.7988380537400234,1.18,华尔泰,原材料,化学原料和化学制品制造业,n_pattern_rebound,20250107
002109,002109.SZ,2025-01-07,3.28,2025-01-06,3.31,3.31,1板1调,1,-0.9063444108761405,-0.9063444108761405,-0.9063444108761405,-0.9063444108761405,1.81,兴化股份,原材料,化学原料和化学制品制造业,n_pattern_rebound,20250107
600367,600367.SH,2025-01-07,12.6,2025-01-06,11.96,11.96,1板1调,1,5.351170568561862,5.351170568561862,5.351170568561862,5.351170568561862,4.8,红星发展,原材料,化学原料和化学制品制造业,n_pattern_rebound,20250107
600618,600618.SH,2025-01-07,11.760000000000002,2025-01-06,11.98,11.98,1板1调,1,-1.8363939899832962,-1.8363939899832962,-1.8363939899832962,-1.8363939899832962,2.67,氯碱化工,原材料,化学原料和化学制品制造业,n_pattern_rebound,20250107
600722,600722.SH,2025-01-07,5.500000000000001,2025-01-06,5.19,5.19,1板1调,1,5.973025048169566,5.973025048169566,5.973025048169566,5.973025048169566,3.87,金牛化工,原材料,化学原料和化学制品制造业,n_pattern_rebound,20250107
000737,000737.SZ,2025-01-07,8.73,2025-01-03,8.37,8.370000000000001,1板2调,2,4.301075268817219,2.1505376344086096,4.301075268817219,2.1505376344085985,1.68,北方铜业,原材料,化学原料和化学制品制造业,n_pattern_rebound,20250107
000597,000597.SZ,2025-01-07,5.49,2025-01-06,5.6,5.6,1板1调,1,-1.9642857142857042,-1.9642857142857042,-1.9642857142857042,-1.9642857142857042,2.37,东北制药,医疗保健,医药制造业,n_pattern_rebound,20250107
000788,000788.SZ,2025-01-07,6.250000000000001,2025-01-06,6.53,6.53,1板1调,1,-4.287901990811629,-4.287901990811629,-4.287901990811629,-4.287901990811629,1.06,北大医药,医疗保健,医药制造业,n_pattern_rebound,20250107
002317,002317.SZ,2025-01-07,12.72,2025-01-06,13.09,13.09,1板1调,1,-2.82658517952635,-2.82658517952635,-2.82658517952635,-2.82658517952635,2.6,众生药业,医疗保健,医药制造业,n_pattern_rebound,20250107
002370,002370.SZ,2025-01-07,3.2,2025-01-06,3.16,3.16,1板1调,1,1.2658227848101276,1.2658227848101276,1.2658227848101276,1.2658227848101276,3.09,亚太药业,医疗保健,医药制造业,n_pattern_rebound,20250107
