code,symbol,score,industry_name,close
600990.SH,四创电子,0.3196309911893415,计算机、通信和其他电子设备制造业,30.4
000534.SZ,万泽股份,0.3188097516236395,医药制造业,24.720000000000002
002163.SZ,海南发展,0.31866222061463617,建筑装饰和其他建筑业,16.05
603031.SH,安孚科技,0.3127351195620598,电气机械和器材制造业,42.8
002157.SZ,正邦科技,0.3080094150569087,畜牧业,3.7300000000000004
605123.SH,派克新材,0.30723524407120634,金属制品业,92.83000000000001
605090.SH,九丰能源,0.30584810656657135,燃气生产和供应业,38.2
002519.SZ,银河电子,0.302112120335146,计算机、通信和其他电子设备制造业,6.95
603992.SH,松霖科技,0.3011685613190147,橡胶和塑料制品业,35.7
601179.SH,中国西电,0.30026846207461017,电气机械和器材制造业,9.6
600776.SH,东方通信,0.29441465133441386,计算机、通信和其他电子设备制造业,15.930000000000001
603698.SH,航天工程,0.29357206441348876,专业技术服务业,27.509999999999998
000735.SZ,罗牛山,0.2926926171000479,畜牧业,11.170000000000002
