code,symbol,score,industry_name,close
600725.SH,云维股份,0.321434258789745,石油加工、炼焦和核燃料加工业,4.21
002115.SZ,三维通信,0.32057996036525543,商务服务业,12.51
600135.SH,乐凯胶片,0.31938798618003555,化学原料和化学制品制造业,9.02
600706.SH,曲江文旅,0.3172362989804069,公共设施管理业,12.11
002837.SZ,英维克,0.3096292726743352,专用设备制造业,94.15
001359.SZ,平安电工,0.3079055862902225,非金属矿物制品业,73.5
002491.SZ,通鼎互联,0.3076876000346047,电气机械和器材制造业,6.51
603090.SH,宏盛股份,0.30766358023625356,通用设备制造业,55.03
600879.SH,航天电子,0.30062150527478465,专用设备制造业,17.28
002198.SZ,嘉应制药,0.29884676178600533,医药制造业,7.640000000000001
603528.SH,多伦科技,0.2960150132643555,计算机、通信和其他电子设备制造业,10.290000000000001
002766.SZ,索菱股份,0.29119050528706325,计算机、通信和其他电子设备制造业,5.32
603708.SH,家家悦,0.29040359590274684,零售业,12.92
