datetime,market_limit_up_count,market_limit_down_count
2015-03-12,14,2
2015-03-13,27,0
2015-03-16,84,0
2015-03-17,69,1
2015-03-18,65,1
2015-03-19,49,4
2015-03-20,57,1
2015-03-23,110,2
2015-03-24,99,0
2015-03-25,96,1
2015-03-26,60,28
2015-03-27,70,1
2015-03-30,61,7
2015-03-31,44,1
2015-04-01,93,0
2015-04-02,98,0
2015-04-03,115,0
2015-04-07,105,3
2015-04-08,77,12
2015-04-09,69,11
2015-04-10,104,8
2015-04-13,137,2
2015-04-14,86,7
2015-04-15,40,65
2015-04-16,66,5
2015-04-17,65,7
2015-04-20,54,36
2015-04-21,101,9
2015-04-22,116,3
2015-04-23,96,7
2015-04-24,76,8
2015-04-27,81,8
2015-04-28,58,53
2015-04-29,115,12
2015-04-30,79,19
2015-05-04,90,13
2015-05-05,38,38
2015-05-06,27,11
2015-05-07,34,70
2015-05-08,127,13
2015-05-11,193,4
2015-05-12,158,13
2015-05-13,131,4
2015-05-14,124,11
2015-05-15,89,18
2015-05-18,165,4
2015-05-19,157,6
2015-05-20,138,15
2015-05-21,256,14
2015-05-22,194,16
2015-05-25,212,10
2015-05-26,256,11
2015-05-27,258,8
2015-05-28,55,455
2015-05-29,152,13
2015-06-01,356,14
2015-06-02,303,17
2015-06-03,188,11
2015-06-04,155,36
2015-06-05,163,8
2015-06-08,114,52
2015-06-09,90,25
2015-06-10,118,10
2015-06-11,161,10
2015-06-12,158,15
2015-06-15,83,58
2015-06-16,52,110
2015-06-17,98,9
2015-06-18,35,98
2015-06-19,24,795
2015-06-23,84,32
2015-06-24,119,15
2015-06-25,36,103
2015-06-26,19,1507
2015-06-29,31,1064
2015-06-30,224,16
2015-07-01,29,645
2015-07-02,23,1103
2015-07-03,21,1134
2015-07-06,43,695
2015-07-07,18,1351
2015-07-08,10,777
2015-07-09,1021,3
2015-07-10,1030,2
2015-07-13,1208,6
2015-07-14,647,36
2015-07-15,109,989
2015-07-16,101,36
2015-07-17,390,8
2015-07-20,238,7
2015-07-21,211,12
2015-07-22,157,9
2015-07-23,228,3
2015-07-24,78,9
2015-07-27,15,1383
2015-07-28,52,216
2015-07-29,326,4
2015-07-30,31,54
2015-07-31,62,56
2015-08-03,62,315
2015-08-04,460,12
2015-08-05,62,12
2015-08-06,60,21
2015-08-07,131,2
2015-08-10,261,0
2015-08-11,111,4
2015-08-12,59,15
2015-08-13,137,4
2015-08-14,123,6
2015-08-17,160,9
2015-08-18,19,1215
2015-08-19,147,5
2015-08-20,34,123
2015-08-21,8,256
2015-08-24,5,1649
2015-08-25,4,1512
2015-08-26,46,513
2015-08-27,216,27
2015-08-28,491,4
2015-08-31,33,198
2015-09-01,11,764
2015-09-02,23,289
2015-09-07,49,31
2015-09-08,240,19
2015-09-09,194,8
2015-09-10,36,21
2015-09-11,72,13
2015-09-14,14,1024
2015-09-15,13,548
2015-09-16,761,19
2015-09-17,20,62
2015-09-18,60,28
2015-09-21,158,19
2015-09-22,74,15
2015-09-23,43,22
2015-09-24,72,22
2015-09-25,21,93
2015-09-28,60,17
2015-09-29,31,23
2015-09-30,35,12
2015-10-08,142,6
2015-10-09,74,14
2015-10-12,164,8
2015-10-13,73,14
2015-10-14,43,10
2015-10-15,115,0
2015-10-16,95,2
2015-10-19,80,3
2015-10-20,79,9
2015-10-21,23,649
2015-10-22,172,10
2015-10-23,179,5
2015-10-26,85,16
2015-10-27,94,10
2015-10-28,32,31
2015-10-29,61,7
2015-10-30,46,9
2015-11-02,28,60
2015-11-03,48,9
2015-11-04,176,1
2015-11-05,43,4
2015-11-06,93,1
2015-11-09,109,2
2015-11-10,84,4
2015-11-11,109,2
2015-11-12,90,3
2015-11-13,38,49
2015-11-16,107,4
2015-11-17,41,4
2015-11-18,27,18
2015-11-19,97,3
2015-11-20,107,1
2015-11-23,64,14
2015-11-24,72,3
2015-11-25,96,0
2015-11-26,53,5
2015-11-27,19,262
2015-11-30,104,10
2015-12-01,54,33
2015-12-02,37,23
2015-12-03,74,1
2015-12-04,41,2
2015-12-07,69,3
2015-12-08,38,12
2015-12-09,52,9
2015-12-10,39,6
2015-12-11,31,13
2015-12-14,66,3
2015-12-15,50,4
2015-12-16,54,3
2015-12-17,97,1
2015-12-18,54,2
2015-12-21,68,3
2015-12-22,73,1
2015-12-23,54,11
2015-12-24,41,6
2015-12-25,47,0
2015-12-28,38,27
2015-12-29,48,3
2015-12-30,43,0
2015-12-31,22,9
2016-01-04,17,914
2016-01-05,61,58
2016-01-06,128,1
2016-01-07,13,949
2016-01-08,94,8
2016-01-11,18,885
2016-01-12,28,91
2016-01-13,15,147
2016-01-14,83,7
2016-01-15,11,94
2016-01-18,68,9
2016-01-19,131,9
2016-01-20,34,14
2016-01-21,11,100
2016-01-22,49,9
2016-01-25,59,10
2016-01-26,7,733
2016-01-27,39,40
2016-01-28,11,188
2016-01-29,87,5
2016-02-01,17,35
2016-02-02,83,1
2016-02-03,38,5
2016-02-04,100,2
2016-02-05,30,3
2016-02-15,53,6
2016-02-16,147,0
2016-02-17,79,0
2016-02-18,53,2
2016-02-19,29,0
2016-02-22,70,2
2016-02-23,45,1
2016-02-24,54,4
2016-02-25,11,1013
2016-02-26,51,16
2016-02-29,12,362
2016-03-01,50,6
2016-03-02,208,2
2016-03-03,44,6
2016-03-04,19,63
2016-03-07,59,1
2016-03-08,36,2
2016-03-09,13,19
2016-03-10,6,10
2016-03-11,14,10
2016-03-14,72,4
2016-03-15,16,7
2016-03-16,16,4
2016-03-17,62,4
2016-03-18,111,0
2016-03-21,91,1
2016-03-22,28,0
2016-03-23,44,1
2016-03-24,31,10
2016-03-25,35,4
2016-03-28,23,1
2016-03-29,11,15
2016-03-30,68,1
2016-03-31,40,1
2016-04-01,27,5
2016-04-05,76,1
2016-04-06,32,3
2016-04-07,19,2
2016-04-08,18,7
2016-04-11,51,2
2016-04-12,22,9
2016-04-13,39,1
2016-04-14,34,2
2016-04-15,24,6
2016-04-18,19,9
2016-04-19,26,3
2016-04-20,22,79
2016-04-21,27,11
2016-04-22,29,8
2016-04-25,18,5
2016-04-26,27,4
2016-04-27,20,9
2016-04-28,17,8
2016-04-29,17,10
2016-05-03,45,8
2016-05-04,24,6
2016-05-05,23,5
2016-05-06,10,63
2016-05-09,7,145
2016-05-10,13,26
2016-05-11,15,35
2016-05-12,16,24
2016-05-13,16,14
2016-05-16,45,10
2016-05-17,20,13
2016-05-18,10,50
2016-05-19,19,14
2016-05-20,29,12
2016-05-23,38,11
2016-05-24,15,11
2016-05-25,14,8
2016-05-26,23,11
2016-05-27,23,19
2016-05-30,14,13
2016-05-31,72,18
