date,count
2025-01-02,77
2025-01-03,47
2025-01-06,43
2025-01-07,59
2025-01-08,104
2025-01-09,110
2025-01-10,114
2025-01-13,73
2025-01-14,83
2025-01-15,133
2025-01-16,141
2025-01-17,147
2025-01-20,79
2025-01-21,98
2025-01-22,79
2025-01-23,71
2025-01-24,49
2025-01-27,69
2025-02-05,69
2025-02-06,95
2025-02-07,105
2025-02-10,122
2025-02-11,155
2025-02-12,131
2025-02-13,137
2025-02-14,108
