code,select_time,Pattern,n_adjust,board_limit_to_select_close_adj_pct,avg_limit_to_close_adj_per,board_close_to_select_close_adj_pct,avg_close_to_close_adj_per,upper_shadow_T,lower_shadow_T,body_T,range_T,close_pos_T,ret_1d_T,gap_T,ma5_bias_T,ma10_bias_T,ma20_bias_T,ret_3d_T,ret_5d_T,ret_10d_T,vol_ratio_5_T,amt_ratio_5_T,amt_ma5_T,volatility_5_T,volatility_10_T,atr_5n_T,atr_10n_T,is_limit_up_T,is_limit_down_T,close_to_limit_up_pct_T,open_t1,open_t2,close_t1,close_t2,future_close_max,future_close_min,future_open_max,future_open_min,future_high_max,future_low_min,days_to_high_max,days_to_low_min,mfe_t1o_pct,mae_t1o_pct,days_to_max_close,days_to_min_close,max_ret_pct_close,min_ret_pct_close,max_gain_ratio_close,min_gain_ratio_close,days_to_max_open,days_to_min_open,max_ret_pct_open,min_ret_pct_open,max_gain_ratio_open,min_gain_ratio_open,ret_t1o_t2c_pct,win_t1o_t2c
002949.SZ,2025-01-02,1板2调,2,-8.524240809802883,-4.262120404901442,-8.524240809802883,-4.262120404901442,0.006406523005241668,0.013977868375072712,0.03494467093768209,0.05532906231799647,0.25263157894710103,-0.03647586980920326,-0.002805836139169512,-0.03680017951307093,-0.08416897802432258,-0.048516250588789576,0.006447831184056029,-0.026091888825865054,-0.14957899950470543,0.7753649773297336,0.7511419494008391,179197169.2,0.06283473290920345,0.07006036580549603,0.08841001747233548,0.09825276645311594,0,0,0.14152591729761232,17.05,16.2,15.97,15.97,17.11,15.97,17.11,16.080000000000002,17.98,15.59,5,2,5.454545454545453,-8.563049853372439,5,1,7.138384470882897,0.0,1.4276768941765794,0.0,6,3,0.35190615835776373,-5.689149560117295,0.058651026392960624,-1.896383186705765,-6.334310850439882,0
600629.SH,2025-01-02,1板2调,2,-6.688963210702337,-3.3444816053511683,-6.688963210702337,-3.3444816053511683,0.02031063321385901,0.008363201911589041,0.0681003584229391,0.09677419354838715,0.08641975308631336,-0.09219088937093271,-0.03036876355748366,-0.011572980632971065,0.010747494263977829,0.016949152542372874,0.026993865030674923,0.04494382022471925,-0.02333722287047833,1.4554819421008045,1.4505995211287028,432035332.2,0.04010193006925528,0.0436201913677778,0.07048984468339305,0.06176821983273593,0,0,0.21146953405017913,8.26,7.78,7.84,7.36,8.56,7.36,8.57,7.470000000000001,8.74,7.3100000000000005,6,2,5.811138014527851,-11.501210653753018,4,2,9.183673469387763,-6.122448979591831,2.2959183673469408,-3.0612244897959155,5,3,3.7530266343825724,-9.564164648910403,0.7506053268765145,-3.188054882970134,-10.895883777239703,0
603126.SH,2025-01-02,1板2调,2,0.1222493887530753,0.0611246943765376,0.1222493887530753,0.0611246943765376,0.09279609279609276,0.018315018315018354,0.037851037851037904,0.14896214896214902,0.3770491803275603,-0.02499999999999989,-0.06190476190476185,0.02375000000000016,0.07269155206286844,0.17360464283155402,0.10080645161290334,0.030188679245283158,0.20796460176991166,1.1467305680413182,1.1915761709576471,619838357.8,0.0720239431362652,0.06592595046892284,0.10183150183150184,0.10354090354090353,0,0,0.12820512820512805,8.17,7.720000000000001,7.95,7.16,7.95,6.03,8.17,5.9,8.43,5.87,1,7,3.1823745410036692,-28.151774785801713,1,7,0.0,-24.150943396226413,0.0,-3.4501347708894876,1,7,0.0,-27.784577723378206,0.0,-3.969225389054029,-12.362301101591184,0
603153.SH,2025-01-02,1板2调,2,0.9828009828009792,0.4914004914004896,0.9828009828009792,0.4914004914004896,0.07055961070559608,0.03454987834549882,0.02725060827250602,0.1323600973236009,0.4669117647057107,-0.010592200288878134,-0.03755416466056801,0.06875390056168083,0.07170795306388526,0.05155430472048102,0.11081081081081084,0.12417943107221004,0.04580152671755736,2.2948829337733163,2.2939151082684104,143604445.0,0.044536635370632086,0.03850439634030086,0.049343065693430686,0.0402433090024331,0,0,0.11192214111922144,20.2,18.82,19.07,17.86,19.07,17.09,20.2,17.14,20.330000000000002,16.9,1,7,0.6435643564356562,-16.33663366336634,1,7,0.0,-10.382800209753542,0.0,-1.4832571728219346,1,8,0.0,-15.148514851485142,0.0,-1.8935643564356428,-11.584158415841584,0
601226.SH,2025-01-02,1板3调,3,0.0,0.0,0.0,0.0,0.01788375558867364,0.02384500745156485,0.0029806259314455403,0.04470938897168403,0.5333333333315564,-0.007396449704141985,-0.004437869822485244,0.027565084226646344,0.05024260447644399,0.03445617821629546,0.0,0.09105691056910563,0.06170886075949362,0.95332839611327,0.9545965688298745,170735585.4,0.05195517687923027,0.03723761811487984,0.05394932935916542,0.03785394932935915,0,0,0.10879284649776459,6.750000000000001,6.75,6.800000000000001,7.48,7.9,6.5200000000000005,7.65,6.550000000000001,7.92,6.4,3,7,17.333333333333318,-5.185185185185192,4,7,16.176470588235286,-4.1176470588235325,4.044117647058822,-0.5882352941176475,5,8,13.333333333333325,-2.962962962962965,2.666666666666665,-0.3703703703703706,10.814814814814806,1
002931.SZ,2025-01-02,1板2调,2,5.728214503351622,2.864107251675811,5.728214503351622,2.864107251675811,0.031123919308357298,0.020749279538904864,0.06628242074927966,0.11815561959654182,0.7365853658532997,0.06703567035670355,-0.0036900369003691432,0.13532260175369712,0.15075943490084256,0.1550111506840197,0.16286863270777477,0.21243885394828813,0.1675639300134591,2.903318271866265,3.191978373579696,91093466.8,0.05003786501421295,0.0374661723491309,0.05371757925072046,0.04541786743515849,0,0,0.031123919308357298,17.169999999999998,16.27,16.16,16.39,17.34,15.610000000000001,17.19,15.61,17.950000000000003,14.99,6,8,4.542807221898689,-12.69656377402445,6,7,7.3019801980198,-3.403465346534647,1.2169966996699666,-0.48620933521923526,6,8,0.11648223645895824,-9.085614443797315,0.01941370607649304,-1.1357018054746644,-4.542807221898647,0
601798.SH,2025-01-02,1板3调,3,-5.714285714285719,-1.9047619047619064,-5.714285714285719,-1.9047619047619064,0.046831955922864994,0.04132231404958675,0.013774104683195666,0.10192837465564741,0.4054054054048572,-0.03070761014686254,-0.01735647530040052,-0.02209051724137927,-0.0069757899056216875,0.022967451035648647,-0.05714285714285719,0.029787234042553058,0.019662921348314433,0.8339623805048288,0.8180915323245331,263223748.8,0.06791930863281538,0.05772357434136632,0.10220385674931125,0.09504132231404956,0,0,0.13498622589531686,7.25,6.22,6.53,5.88,6.53,5.86,7.25,5.71,7.2700000000000005,5.51,1,7,0.2758620689655236,-24.000000000000004,1,6,0.0,-10.26033690658499,0.0,-1.7100561510974985,1,3,0.0,-21.241379310344826,0.0,-7.080459770114942,-18.896551724137932,0
600358.SH,2025-01-02,1板1调,1,-0.5464480874316944,-0.5464480874316944,-0.5464480874316944,-0.2739726027397323,0.05494505494505499,0.008241758241758188,0.016483516483516498,0.07967032967032968,0.31034482758513626,-0.002739726027397323,-0.0191780821917809,0.019036954087346042,-0.028815368196371306,-0.1028958718422674,0.00831024930747917,0.03116147308781879,-0.12077294685990328,0.9261410512062567,0.9522808245634699,77770120.0,0.03311336472047631,0.038551367065607925,0.07252747252747256,0.0706043956043956,0,0,0.05219780219780218,3.63,3.37,3.37,3.31,4.33,3.25,4.33,3.1999999999999997,4.33,3.13,10,2,19.283746556473837,-13.774104683195592,10,6,28.486646884272993,-3.5608308605341277,2.8486646884272995,-0.5934718100890213,10,7,19.283746556473837,-11.845730027548214,1.9283746556473838,-1.692247146792602,-8.815426997245176,0
603535.SH,2025-01-02,1板3调,3,3.1088082901554355,1.0362694300518118,3.1088082901554355,1.0362694300518118,0.004187604690117312,0.01675041876046895,0.042713567839195964,0.06365159128978223,0.263157894736495,-0.004170141784820743,0.038365304420350216,0.05888612983327419,0.08044520857840913,0.06114468538926402,0.031088082901554355,0.1469740634005763,0.09742647058823535,1.5620079051838547,1.6130096590370522,81193414.6,0.04918547065075948,0.03837432152503985,0.050753768844221094,0.038693467336683426,0,0,0.10469011725293133,11.88,11.79,12.02,12.43,13.440000000000001,12.02,13.22,11.79,13.600000000000001,11.51,4,2,14.478114478114481,-3.1144781144781226,4,1,11.8136439267887,0.0,2.953410981697175,0.0,5,2,11.279461279461279,-0.7575757575757713,2.2558922558922556,-0.37878787878788567,4.62962962962962,1
000713.SZ,2025-01-02,1板3调,3,-7.600000000000004,-2.5333333333333345,-7.600000000000004,-2.5333333333333345,0.0303030303030303,0.008658008658008602,0.011544011544011554,0.050505050505050456,0.1714285714280807,-0.017021276595744695,-0.0056737588652482325,-0.020633126059920723,-0.05752753977968177,-0.07172995780590727,-0.07600000000000004,0.020618556701030882,-0.1476014760147601,0.6688601444583315,0.6549539159018206,200357050.8,0.05902149347851686,0.04766994675662295,0.053391053391053406,0.0567099567099567,0,0,0.11976911976911979,6.97,6.46,6.529999999999999,6.5,7.220000000000001,6.5,7.04,6.46,7.4,6.26,10,2,6.1692969870875265,-10.186513629842182,10,2,10.566615620214415,-0.4594180704440944,1.0566615620214415,-0.2297090352220472,10,2,1.0043041606886698,-7.317073170731704,0.10043041606886698,-3.658536585365852,-6.74318507890961,0
